software,codevolume,pull_closed_NUMS,pull_merged_NUMS,pull_open_NUMS,pull_closed_duration_MEAN,pull_merged_duration_MEAN,pull_open_duration_MEAN,pull_openratio,pull_mergedratio,pulls_FACTOR,issues_closed_NUMS,issues_open_NUMS,issues_closed_duration_MEAN,issues_open_duration_MEAN,issues_openratio,tags_NUMS,tags_FACTOR,comments_NUMS,comments_FACTOR,branches_NUMS,branches_FACTOR,communityhealth,commits_NUMS,commits_FACTOR,contributors_NUMS,contributors_FACTOR,commits_person_avg,active_contributors_NUMS,active_ratio
rabbitmq_rabbitmq-server,4.67981840431,108,592,3,42.6388888889,4.09966216216,235.333333333,0.00426742532006,0.842105263158,150.219504106,1518,69,22.1594202899,695.608695652,0.0434782608696,203,43.3777515412,81,17.3083639154,21,4.48735360771,100,17087,3651.21005214,72,15.3852123693,237.319444444,10,0.138888888889
apache_activemq,6.17677574653,205,43,33,102.629268293,5.79069767442,514.0,0.11743772242,0.153024911032,45.4929904421,248,33,85.8387096774,514.0,0.11743772242,57,9.22811549894,10,1.61896763139,14,2.26655468395,50,9968,1613.78693497,69,11.1708766566,144.463768116,6,0.0869565217391
apache_kafka,5.25267588035,4092,407,453,36.1048387097,20.8427518428,338.838852097,0.09147819063,0.0821890145396,942.757579719,4499,453,34.7241609246,338.838852097,0.09147819063,74,14.0880575321,173,32.9355939603,20,3.8075831168,83,5005,952.847674978,436,83.0053119461,11.4793577982,132,0.302752293578
haproxy_haproxy,5.00535213649,0,0,0,None,None,None,None,None,0.0,0,0,None,None,None,191,38.1591534006,0,0.0,3,0.599358430375,66,7538,1505.98794939,147,29.3685630884,51.2789115646,17,0.115646258503
apache_tomcat,6.18533586557,93,0,15,50.2150537634,None,356.0,0.138888888889,0.0,17.4606524766,93,15,50.2150537634,356.0,0.138888888889,67,10.8320714438,17,2.74843603799,1,0.161672708117,66,19440,3142.9174458,14,2.26341791364,1388.57142857,7,0.5
eclipse_jetty.project,5.78776925933,239,384,9,32.8661087866,7.74739583333,39.0,0.0142405063291,0.607594936709,109.195783675,2155,340,49.4408352668,431.402941176,0.13627254509,305,52.6973323113,324,55.9801169471,29,5.01056602304,66,15665,2706.56954314,96,16.5867013177,163.177083333,15,0.15625
spring-projects_spring-framework,6.08863391245,1408,217,179,34.7855113636,3.89400921659,833.111731844,0.0992239467849,0.120288248337,296.289779602,1625,179,30.6609230769,833.111731844,0.0992239467849,124,20.3658163363,398,65.3677008214,13,2.13512590623,66,16533,2715.38743136,280,45.987327211,59.0464285714,49,0.175
apache_httpd,5.82909204288,20,0,29,272.25,None,654.068965517,0.591836734694,0.0,8.40611190208,20,29,272.25,654.068965517,0.591836734694,241,41.3443462939,389,66.7342353043,60,10.2931982475,50,30860,5294.13496527,38,6.51902555672,812.105263158,11,0.289473684211
mybatis_ibatis-2,4.76125859971,2,35,0,29.5,4.02857142857,None,0.0,0.945945945946,7.77105448595,39,3,5.4358974359,979.333333333,0.0714285714286,3,0.63008549886,0,0.0,2,0.42005699924,50,130,27.3037049506,9,1.89025649658,14.4444444444,2,0.222222222222
mybatis_mybatis-3,5.39501344851,158,334,31,33.8544303797,6.7005988024,329.548387097,0.0592734225621,0.63862332696,96.9413709515,1129,138,39.6164747564,624.289855072,0.108918705604,26,4.8192650951,77,14.2724389355,5,0.926781749059,83,2451,454.308413388,108,20.0184857797,22.6944444444,7,0.0648148148148
hibernate_hibernate-orm,5.8594787516,1870,327,67,68.0946524064,11.3027522936,445.194029851,0.029593639576,0.144434628975,386.382491682,2197,67,59.6431497497,445.194029851,0.029593639576,158,26.9648558682,228,38.9113109997,19,3.24260924998,50,8733,1490.40560948,320,54.6123663154,27.290625,41,0.128125
memcached_memcached,4.79749605674,192,20,7,164.734375,29.8,592.0,0.0319634703196,0.0913242009132,45.6488129244,341,33,110.369501466,336.424242424,0.0882352941176,74,15.424713043,24,5.00260963555,5,1.04221034074,66,1466,305.576071905,120,25.0130481778,12.2166666667,11,0.0916666666667
alibaba_fastjson,5.08296120603,76,176,1,50.0394736842,11.2159090909,26.0,0.00395256916996,0.695652173913,49.7741355373,1217,602,85.7863599014,366.15448505,0.330951072018,103,20.2637784994,29,5.705335694,13,2.55756427662,50,2703,531.776633823,71,13.9682356646,38.0704225352,7,0.0985915492958
Tencent_rapidjson,4.38967984322,75,369,16,46.7466666667,3.53387533875,393.125,0.0347826086957,0.802173913043,104.791241373,1000,236,27.354,446.110169492,0.190938511327,5,1.13903523231,60,13.6684227878,9,2.05026341816,50,2075,472.69962141,108,24.603161018,19.212962963,13,0.12037037037
FasterXML_jackson,5.14724954779,1,24,0,0.0,0.541666666667,None,0.0,0.96,4.85696288238,25,0,0.56,None,0.0,0,0.0,2,0.388557030591,1,0.194278515295,33,1964,381.56300404,27,5.24551991297,72.7407407407,2,0.0740740740741
mysql_mysql-server,6.49266095074,203,0,1,7.37438423645,None,42.0,0.00490196078431,0.0,31.4200913228,203,1,7.37438423645,42.0,0.00490196078431,600,92.4120333023,20,3.08040111008,9,1.38618049953,50,140096,21577.5936959,66,10.1653236632,2122.66666667,30,0.454545454545
antirez_redis,5.18559031269,820,454,592,276.47804878,40.0154185022,749.266891892,0.317256162915,0.243301178992,359.843313389,3171,1698,185.507726269,801.294464075,0.348736906962,204,39.3397834574,457,88.1288286275,43,8.29220925817,66,6719,1295.70590711,249,48.0176768671,26.983935743,12,0.0481927710843
mongodb_mongo,6.05918007002,1093,114,30,99.5260750229,21.3070175439,314.233333333,0.0242522231205,0.0921584478577,204.15303485,1207,30,92.1391880696,314.233333333,0.0242522231205,519,85.655153668,265,43.7352904085,22,3.63085429807,50,42094,6947.14458286,338,55.7831251249,124.538461538,83,0.245562130178
apache_hbase,6.09411145519,70,0,4,139.171428571,None,173.0,0.0540540540541,0.0,12.1428694805,70,4,139.171428571,173.0,0.0540540540541,596,97.7993271673,15,2.46139246226,50,8.20464154088,50,15296,2509.96394019,184,30.1930808704,83.1304347826,54,0.29347826087
git_git,5.59207122546,300,1,131,57.0033333333,353.0,434.847328244,0.303240740741,0.00231481481481,77.2522349203,301,131,57.9900332226,434.847328244,0.303240740741,683,122.137214006,511,91.3793797321,5,0.894123089355,83,51200,9155.820435,1199,214.410716827,42.7022518766,86,0.0717264386989
