,date,nums,increment,ratio
0,2018-04,8,7,7.0
1,2017-12,1,-1,-0.5
2,2017-11,2,0,0.0
3,2017-08,2,1,1.0
4,2017-07,1,-1,-0.5
5,2017-06,2,1,1.0
6,2017-04,1,-6,-0.857142857143
7,2017-03,7,4,1.33333333333
8,2017-02,3,1,0.5
9,2017-01,2,0,0.0
10,2016-11,2,-3,-0.6
11,2016-10,5,-1,-0.166666666667
12,2016-09,6,5,5.0
13,2016-07,1,0,0.0
14,2016-06,1,0,0.0
15,2016-05,1,-1,-0.5
16,2016-04,2,-8,-0.8
17,2016-03,10,9,9.0
18,2016-02,1,-3,-0.75
19,2016-01,4,3,3.0
20,2015-12,1,-8,-0.888888888889
21,2015-11,9,7,3.5
22,2015-10,2,-7,-0.777777777778
23,2015-09,9,4,0.8
24,2015-08,5,3,1.5
25,2015-07,2,-3,-0.6
26,2015-06,5,1,0.25
27,2015-05,4,-1,-0.2
28,2015-04,5,-2,-0.285714285714
29,2015-03,7,6,6.0
30,2015-01,1,-5,-0.833333333333
31,2014-12,6,-2,-0.25
32,2014-10,8,1,0.142857142857
33,2014-09,7,4,1.33333333333
34,2014-08,3,-5,-0.625
35,2014-07,8,6,3.0
36,2014-06,2,1,1.0
37,2014-05,1,-2,-0.666666666667
38,2014-04,3,0,0.0
39,2014-03,3,-3,-0.5
40,2014-02,6,3,1.0
41,2013-11,3,0,0.0
