,date,nums,increment,ratio
0,2018-04,8,-1,-0.111111111111
1,2018-03,9,-9,-0.5
2,2018-02,18,7,0.636363636364
3,2018-01,11,9,4.5
4,2017-12,2,-10,-0.833333333333
5,2017-11,12,2,0.2
6,2017-10,10,3,0.428571428571
7,2017-09,7,-2,-0.222222222222
8,2017-08,9,4,0.8
9,2017-07,5,1,0.25
10,2017-06,4,-6,-0.6
11,2017-05,10,-62,-0.861111111111
12,2017-04,72,50,2.27272727273
13,2017-03,22,4,0.222222222222
14,2017-02,18,-26,-0.590909090909
15,2017-01,44,32,2.66666666667
16,2016-12,12,-18,-0.6
17,2016-11,30,20,2.0
18,2016-10,10,-12,-0.545454545455
19,2016-09,22,-10,-0.3125
20,2016-08,32,5,0.185185185185
21,2016-07,27,4,0.173913043478
22,2016-06,23,-31,-0.574074074074
23,2016-05,54,15,0.384615384615
24,2016-04,39,-5,-0.113636363636
25,2016-03,44,2,0.047619047619
26,2016-02,42,-2,-0.0454545454545
27,2016-01,44,14,0.466666666667
28,2015-12,30,-36,-0.545454545455
29,2015-11,66,-6,-0.0833333333333
30,2015-10,72,-15,-0.172413793103
31,2015-09,87,-44,-0.335877862595
32,2015-08,131,92,2.35897435897
33,2015-07,39,-7,-0.152173913043
34,2015-06,46,-66,-0.589285714286
35,2015-05,112,80,2.5
36,2015-04,32,-89,-0.735537190083
37,2015-03,121,-31,-0.203947368421
38,2015-02,152,70,0.853658536585
39,2015-01,82,13,0.188405797101
40,2014-12,69,54,3.6
41,2014-11,15,-151,-0.909638554217
42,2014-10,166,-165,-0.498489425982
43,2014-09,331,63,0.235074626866
44,2014-08,268,33,0.140425531915
45,2014-07,235,81,0.525974025974
46,2014-06,154,-23,-0.129943502825
47,2014-05,177,-29,-0.140776699029
48,2014-04,206,-110,-0.348101265823
49,2014-03,316,106,0.504761904762
50,2014-02,210,172,4.52631578947
51,2014-01,38,18,0.9
52,2013-12,20,-52,-0.722222222222
53,2013-11,72,-38,-0.345454545455
54,2013-10,110,-21,-0.160305343511
55,2013-09,131,0,0.0
