,date,nums,increment,ratio
0,2018-04,206,-71,-0.256317689531
1,2018-03,277,91,0.489247311828
2,2018-02,186,-85,-0.313653136531
3,2018-01,271,22,0.0883534136546
4,2017-12,249,-55,-0.180921052632
5,2017-11,304,43,0.164750957854
6,2017-10,261,-29,-0.1
7,2017-09,290,-1,-0.00343642611684
8,2017-08,291,-26,-0.0820189274448
9,2017-07,317,57,0.219230769231
10,2017-06,260,-49,-0.15857605178
11,2017-05,309,2,0.00651465798046
12,2017-04,307,-51,-0.142458100559
13,2017-03,358,80,0.287769784173
14,2017-02,278,-20,-0.0671140939597
15,2017-01,298,-44,-0.12865497076
16,2016-12,342,15,0.045871559633
17,2016-11,327,-41,-0.111413043478
18,2016-10,368,81,0.282229965157
19,2016-09,287,-25,-0.0801282051282
20,2016-08,312,14,0.0469798657718
21,2016-07,298,4,0.0136054421769
22,2016-06,294,-49,-0.142857142857
23,2016-05,343,28,0.0888888888889
24,2016-04,315,-13,-0.0396341463415
25,2016-03,328,147,0.812154696133
26,2016-02,181,-35,-0.162037037037
27,2016-01,216,14,0.0693069306931
28,2015-12,202,-24,-0.106194690265
29,2015-11,226,16,0.0761904761905
30,2015-10,210,4,0.0194174757282
31,2015-09,206,11,0.0564102564103
32,2015-08,195,-147,-0.429824561404
33,2015-07,342,147,0.753846153846
34,2015-06,195,-1,-0.00510204081633
35,2015-05,196,32,0.19512195122
36,2015-04,164,-34,-0.171717171717
37,2015-03,198,88,0.8
38,2015-02,110,-51,-0.316770186335
39,2015-01,161,42,0.352941176471
40,2014-12,119,35,0.416666666667
41,2014-11,84,-13,-0.134020618557
42,2014-10,97,5,0.054347826087
43,2014-09,92,27,0.415384615385
44,2014-08,65,-2,-0.0298507462687
45,2014-07,67,34,1.0303030303
46,2014-06,33,4,0.137931034483
47,2014-05,29,-7,-0.194444444444
48,2014-04,36,14,0.636363636364
49,2014-03,22,4,0.222222222222
50,2014-02,18,1,0.0588235294118
51,2014-01,17,-14,-0.451612903226
52,2013-12,31,0,0.0
