,date,nums,increment,ratio
0,2018-05,2,-53,-0.963636363636
1,2018-04,55,1,0.0185185185185
2,2018-03,54,-7,-0.114754098361
3,2018-02,61,-2,-0.031746031746
4,2018-01,63,7,0.125
5,2017-12,56,-14,-0.2
6,2017-11,70,9,0.147540983607
7,2017-10,61,-8,-0.115942028986
8,2017-09,69,-7,-0.0921052631579
9,2017-08,76,-4,-0.05
10,2017-07,80,14,0.212121212121
11,2017-06,66,-18,-0.214285714286
12,2017-05,84,-18,-0.176470588235
13,2017-04,102,-42,-0.291666666667
14,2017-03,144,49,0.515789473684
15,2017-02,95,1,0.0106382978723
16,2017-01,94,-3,-0.0309278350515
17,2016-12,97,-17,-0.149122807018
18,2016-11,114,-28,-0.197183098592
19,2016-10,142,15,0.11811023622
20,2016-09,127,6,0.0495867768595
21,2016-08,121,-24,-0.165517241379
22,2016-07,145,-7,-0.0460526315789
23,2016-06,152,-19,-0.111111111111
24,2016-05,171,21,0.14
25,2016-04,150,-22,-0.127906976744
26,2016-03,172,36,0.264705882353
27,2016-02,136,22,0.19298245614
28,2016-01,114,14,0.14
29,2015-12,100,-34,-0.253731343284
30,2015-11,134,2,0.0151515151515
31,2015-10,132,4,0.03125
32,2015-09,128,-34,-0.20987654321
33,2015-08,162,-13,-0.0742857142857
34,2015-07,175,37,0.268115942029
35,2015-06,138,11,0.0866141732283
36,2015-05,127,-40,-0.239520958084
37,2015-04,167,-62,-0.270742358079
38,2015-03,229,43,0.231182795699
39,2015-02,186,34,0.223684210526
40,2015-01,152,-10,-0.0617283950617
41,2014-12,162,47,0.408695652174
42,2014-11,115,-77,-0.401041666667
43,2014-10,192,17,0.0971428571429
44,2014-09,175,-10,-0.0540540540541
45,2014-08,185,-78,-0.296577946768
46,2014-07,263,159,1.52884615385
47,2014-06,104,15,0.168539325843
48,2014-05,89,-10,-0.10101010101
49,2014-04,99,2,0.020618556701
50,2014-03,97,-21,-0.177966101695
51,2014-02,118,76,1.80952380952
52,2014-01,42,27,1.8
53,2013-12,15,8,1.14285714286
54,2013-11,7,0,0.0
