,date,nums,increment,ratio
0,2018-04,430,-165,-0.27731092437
1,2018-03,595,180,0.433734939759
2,2018-02,415,-240,-0.36641221374
3,2018-01,655,64,0.108291032149
4,2017-12,591,5,0.00853242320819
5,2017-11,586,39,0.0712979890311
6,2017-10,547,-29,-0.0503472222222
7,2017-09,576,-36,-0.0588235294118
8,2017-08,612,2,0.00327868852459
9,2017-07,610,-32,-0.0498442367601
10,2017-06,642,21,0.0338164251208
11,2017-05,621,-73,-0.105187319885
12,2017-04,694,43,0.0660522273425
13,2017-03,651,59,0.0996621621622
14,2017-02,592,-177,-0.230169050715
15,2017-01,769,111,0.168693009119
16,2016-12,658,-45,-0.0640113798009
17,2016-11,703,-75,-0.0964010282776
18,2016-10,778,213,0.376991150442
19,2016-09,565,-49,-0.0798045602606
20,2016-08,614,79,0.147663551402
21,2016-07,535,28,0.0552268244576
22,2016-06,507,-60,-0.10582010582
23,2016-05,567,9,0.0161290322581
24,2016-04,558,-127,-0.185401459854
25,2016-03,685,279,0.687192118227
26,2016-02,406,-82,-0.168032786885
27,2016-01,488,19,0.0405117270789
28,2015-12,469,-127,-0.213087248322
29,2015-11,596,156,0.354545454545
30,2015-10,440,56,0.145833333333
31,2015-09,384,-9,-0.0229007633588
32,2015-08,393,-694,-0.638454461822
33,2015-07,1087,658,1.5337995338
34,2015-06,429,103,0.315950920245
35,2015-05,326,0,0.0
36,2015-04,326,-89,-0.214457831325
37,2015-03,415,177,0.743697478992
38,2015-02,238,-95,-0.285285285285
39,2015-01,333,47,0.164335664336
40,2014-12,286,60,0.265486725664
41,2014-11,226,17,0.0813397129187
42,2014-10,209,-40,-0.160642570281
43,2014-09,249,94,0.606451612903
44,2014-08,155,26,0.201550387597
45,2014-07,129,43,0.5
46,2014-06,86,7,0.0886075949367
47,2014-05,79,-4,-0.0481927710843
48,2014-04,83,13,0.185714285714
49,2014-03,70,14,0.25
50,2014-02,56,14,0.333333333333
51,2014-01,42,-55,-0.567010309278
52,2013-12,97,0,0.0
