,date,nums,increment,ratio
0,2018-02,1,-3,-0.75
1,2017-10,4,3,3.0
2,2017-08,1,-1,-0.5
3,2017-06,2,1,1.0
4,2017-03,1,-2,-0.666666666667
5,2017-01,3,2,2.0
6,2016-12,1,-1,-0.5
7,2016-11,2,1,1.0
8,2016-10,1,0,0.0
9,2016-09,1,-2,-0.666666666667
10,2016-05,3,0,0.0
11,2016-04,3,-1,-0.25
12,2016-03,4,-2,-0.333333333333
13,2016-02,6,-7,-0.538461538462
14,2016-01,13,12,12.0
15,2015-12,1,-7,-0.875
16,2015-11,8,5,1.66666666667
17,2015-10,3,-3,-0.5
18,2015-08,6,1,0.2
19,2015-07,5,-5,-0.5
20,2015-06,10,8,4.0
21,2015-04,2,0,0.0
22,2015-03,2,-5,-0.714285714286
23,2015-02,7,6,6.0
24,2015-01,1,0,0.0
25,2014-12,1,-3,-0.75
26,2014-11,4,-5,-0.555555555556
27,2014-10,9,8,8.0
28,2014-08,1,-1,-0.5
29,2014-06,2,-3,-0.6
30,2014-04,5,-1,-0.166666666667
31,2014-03,6,3,1.0
32,2014-02,3,0,0.0
33,2014-01,3,2,2.0
34,2013-12,1,0,0.0
35,2013-11,1,-1,-0.5
36,2013-09,2,-2,-0.5
37,2013-08,4,1,0.333333333333
38,2013-06,3,-3,-0.5
39,2013-05,6,-3,-0.333333333333
40,2013-04,9,-3,-0.25
41,2011-10,12,-32,-0.727272727273
42,2011-09,44,-48,-0.521739130435
43,2011-08,92,5,0.0574712643678
44,2011-07,87,53,1.55882352941
45,2011-06,34,-4,-0.105263157895
46,2011-05,38,8,0.266666666667
47,2011-04,30,-41,-0.577464788732
48,2011-03,71,12,0.203389830508
49,2011-02,59,14,0.311111111111
50,2011-01,45,-113,-0.715189873418
51,2010-12,158,106,2.03846153846
52,2010-11,52,9,0.209302325581
53,2010-10,43,7,0.194444444444
54,2010-09,36,-30,-0.454545454545
55,2010-08,66,-4,-0.0571428571429
56,2010-07,70,18,0.346153846154
57,2010-06,52,40,3.33333333333
58,2010-05,12,-12,-0.5
59,2010-04,24,-7,-0.225806451613
60,2010-03,31,-13,-0.295454545455
61,2010-02,44,-16,-0.266666666667
62,2010-01,60,30,1.0
63,2009-12,30,-16,-0.347826086957
64,2009-11,46,-13,-0.220338983051
65,2009-10,59,17,0.404761904762
66,2009-09,42,23,1.21052631579
67,2009-08,19,-37,-0.660714285714
68,2009-07,56,18,0.473684210526
69,2009-06,38,-13,-0.254901960784
70,2009-05,51,5,0.108695652174
71,2009-04,46,1,0.0222222222222
72,2009-03,45,-40,-0.470588235294
73,2009-02,85,30,0.545454545455
74,2009-01,55,19,0.527777777778
75,2008-12,36,14,0.636363636364
76,2008-11,22,21,21.0
77,2008-10,1,-3,-0.75
78,2008-09,4,2,1.0
79,2008-08,2,-2,-0.5
80,2008-07,4,-4,-0.5
81,2008-04,8,6,3.0
82,2008-03,2,0,0.0
