,date,nums,increment,ratio
0,2018-04,10,-6,-0.375
1,2018-03,16,8,1.0
2,2018-02,8,1,0.142857142857
3,2018-01,7,-2,-0.222222222222
4,2017-12,9,0,0.0
5,2017-11,9,2,0.285714285714
6,2017-10,7,-4,-0.363636363636
7,2017-09,11,5,0.833333333333
8,2017-08,6,-4,-0.4
9,2017-07,10,0,0.0
10,2017-06,10,-3,-0.230769230769
11,2017-05,13,2,0.181818181818
12,2017-04,11,-2,-0.153846153846
13,2017-03,13,4,0.444444444444
14,2017-02,9,1,0.125
15,2017-01,8,2,0.333333333333
16,2016-12,6,-5,-0.454545454545
17,2016-11,11,3,0.375
18,2016-10,8,-4,-0.333333333333
19,2016-09,12,-12,-0.5
20,2016-08,24,6,0.333333333333
21,2016-07,18,5,0.384615384615
22,2016-06,13,-1,-0.0714285714286
23,2016-05,14,3,0.272727272727
24,2016-04,11,0,0.0
25,2016-03,11,1,0.1
26,2016-02,10,5,1.0
27,2016-01,5,-9,-0.642857142857
28,2015-12,14,-8,-0.363636363636
29,2015-11,22,12,1.2
30,2015-10,10,0,0.0
31,2015-09,10,-8,-0.444444444444
32,2015-08,18,3,0.2
33,2015-07,15,-7,-0.318181818182
34,2015-06,22,-11,-0.333333333333
35,2015-05,33,-7,-0.175
36,2015-04,40,1,0.025641025641
37,2015-03,39,4,0.114285714286
38,2015-02,35,13,0.590909090909
39,2015-01,22,-11,-0.333333333333
40,2014-12,33,4,0.137931034483
41,2014-11,29,-11,-0.275
42,2014-10,40,13,0.481481481481
43,2014-09,27,7,0.35
44,2014-08,20,7,0.538461538462
45,2014-07,13,0,0.0
46,2014-06,13,-2,-0.133333333333
47,2014-05,15,5,0.5
48,2014-04,10,5,1.0
49,2014-03,5,-2,-0.285714285714
50,2014-02,7,2,0.4
51,2014-01,5,-3,-0.375
52,2013-12,8,-1,-0.111111111111
53,2013-11,9,1,0.125
54,2013-10,8,3,0.6
55,2013-09,5,0,0.0
56,2013-08,5,3,1.5
57,2013-07,2,1,1.0
58,2013-05,1,0,0.0
