,date,nums,increment,ratio
0,2018-04,70,-24,-0.255319148936
1,2018-03,94,11,0.132530120482
2,2018-02,83,9,0.121621621622
3,2018-01,74,-17,-0.186813186813
4,2017-12,91,16,0.213333333333
5,2017-11,75,-10,-0.117647058824
6,2017-10,85,-8,-0.0860215053763
7,2017-09,93,6,0.0689655172414
8,2017-08,87,-2,-0.0224719101124
9,2017-07,89,-1,-0.0111111111111
10,2017-06,90,2,0.0227272727273
11,2017-05,88,13,0.173333333333
12,2017-04,75,-28,-0.271844660194
13,2017-03,103,32,0.450704225352
14,2017-02,71,-3,-0.0405405405405
15,2017-01,74,-14,-0.159090909091
16,2016-12,88,14,0.189189189189
17,2016-11,74,-4,-0.0512820512821
18,2016-10,78,-1,-0.0126582278481
19,2016-09,79,-11,-0.122222222222
20,2016-08,90,-15,-0.142857142857
21,2016-07,105,32,0.438356164384
22,2016-06,73,-2,-0.0266666666667
23,2016-05,75,3,0.0416666666667
24,2016-04,72,-2,-0.027027027027
25,2016-03,74,22,0.423076923077
26,2016-02,52,-13,-0.2
27,2016-01,65,-25,-0.277777777778
28,2015-12,90,13,0.168831168831
29,2015-11,77,4,0.0547945205479
30,2015-10,73,-4,-0.0519480519481
31,2015-09,77,26,0.509803921569
32,2015-08,51,-23,-0.310810810811
33,2015-07,74,21,0.396226415094
34,2015-06,53,-26,-0.329113924051
35,2015-05,79,3,0.0394736842105
36,2015-04,76,-5,-0.0617283950617
37,2015-03,81,29,0.557692307692
38,2015-02,52,-23,-0.306666666667
39,2015-01,75,24,0.470588235294
40,2014-12,51,-5,-0.0892857142857
41,2014-11,56,-15,-0.211267605634
42,2014-10,71,36,1.02857142857
43,2014-09,35,-14,-0.285714285714
44,2014-08,49,9,0.225
45,2014-07,40,2,0.0526315789474
46,2014-06,38,-5,-0.116279069767
47,2014-05,43,12,0.387096774194
48,2014-04,31,-4,-0.114285714286
49,2014-03,35,0,0.0
50,2014-02,35,10,0.4
51,2014-01,25,2,0.0869565217391
52,2013-12,23,-7,-0.233333333333
53,2013-11,30,0,0.0
54,2013-10,30,5,0.2
55,2013-09,25,-2,-0.0740740740741
56,2013-08,27,15,1.25
57,2013-07,12,9,3.0
58,2013-06,3,1,0.5
59,2013-05,2,0,0.0
