,date,nums,increment,ratio
0,2018-04,140,-163,-0.53795379538
1,2018-03,303,191,1.70535714286
2,2018-02,112,-420,-0.789473684211
3,2018-01,532,390,2.74647887324
4,2017-12,142,-117,-0.451737451737
5,2017-11,259,108,0.715231788079
6,2017-10,151,-255,-0.628078817734
7,2017-09,406,256,1.70666666667
8,2017-08,150,-311,-0.674620390456
9,2017-07,461,294,1.76047904192
10,2017-06,167,129,3.39473684211
11,2017-05,38,-62,-0.62
12,2017-04,100,-356,-0.780701754386
13,2017-03,456,20,0.045871559633
14,2017-02,436,336,3.36
15,2017-01,100,-30,-0.230769230769
16,2016-12,130,-72,-0.356435643564
17,2016-11,202,-118,-0.36875
18,2016-10,320,88,0.379310344828
19,2016-09,232,121,1.09009009009
20,2016-08,111,-70,-0.386740331492
21,2016-07,181,-55,-0.233050847458
22,2016-06,236,-13,-0.0522088353414
23,2016-05,249,54,0.276923076923
24,2016-04,195,6,0.031746031746
25,2016-03,189,-51,-0.2125
26,2016-02,240,83,0.528662420382
27,2016-01,157,-297,-0.654185022026
28,2015-12,454,395,6.69491525424
29,2015-11,59,-233,-0.797945205479
30,2015-10,292,-32,-0.0987654320988
31,2015-09,324,197,1.55118110236
32,2015-08,127,79,1.64583333333
33,2015-07,48,-175,-0.784753363229
34,2015-06,223,-271,-0.548582995951
35,2015-05,494,56,0.127853881279
36,2015-04,438,-689,-0.611357586513
37,2015-03,1127,1085,25.8333333333
38,2015-02,42,-173,-0.804651162791
39,2015-01,215,-212,-0.496487119438
40,2014-12,427,350,4.54545454545
41,2014-11,77,-246,-0.761609907121
42,2014-10,323,-11,-0.0329341317365
43,2014-09,334,0,0.0
