,date,nums,increment,ratio
0,2018-03,1,-2,-0.666666666667
1,2018-02,3,-1,-0.25
2,2018-01,4,-1,-0.2
3,2017-12,5,1,0.25
4,2017-11,4,2,1.0
5,2017-10,2,-1,-0.333333333333
6,2017-08,3,0,0.0
7,2017-07,3,1,0.5
8,2017-06,2,0,0.0
9,2017-05,2,0,0.0
10,2017-04,2,-2,-0.5
11,2017-03,4,0,0.0
12,2017-02,4,2,1.0
13,2017-01,2,-2,-0.5
14,2016-12,4,0,0.0
15,2016-11,4,2,1.0
16,2016-10,2,1,1.0
17,2016-09,1,-1,-0.5
18,2016-08,2,0,0.0
19,2016-06,2,-5,-0.714285714286
20,2016-05,7,5,2.5
21,2016-04,2,-4,-0.666666666667
22,2016-03,6,4,2.0
23,2016-02,2,-5,-0.714285714286
24,2016-01,7,6,6.0
25,2015-12,1,-1,-0.5
26,2015-11,2,0,0.0
27,2015-10,2,-1,-0.333333333333
28,2015-09,3,2,2.0
29,2015-08,1,0,0.0
30,2015-07,1,-1,-0.5
31,2015-06,2,1,1.0
32,2015-05,1,-5,-0.833333333333
33,2015-04,6,3,1.0
34,2015-03,3,0,0.0
35,2015-02,3,-3,-0.5
36,2015-01,6,4,2.0
37,2014-12,2,1,1.0
38,2014-11,1,0,0.0
39,2014-10,1,-3,-0.75
40,2014-09,4,0,0.0
