,date,nums,increment,ratio
0,2018-04,2,-17,-0.894736842105
1,2018-03,19,7,0.583333333333
2,2018-02,12,-2,-0.142857142857
3,2018-01,14,0,0.0
4,2017-12,14,7,1.0
5,2017-11,7,-15,-0.681818181818
6,2017-10,22,-10,-0.3125
7,2017-09,32,24,3.0
8,2017-08,8,-8,-0.5
9,2017-07,16,7,0.777777777778
10,2017-06,9,-7,-0.4375
11,2017-05,16,3,0.230769230769
12,2017-04,13,-38,-0.745098039216
13,2017-03,51,13,0.342105263158
14,2017-02,38,33,6.6
15,2017-01,5,-4,-0.444444444444
16,2016-12,9,3,0.5
17,2016-11,6,-24,-0.8
18,2016-10,30,7,0.304347826087
19,2016-09,23,13,1.3
20,2016-08,10,-5,-0.333333333333
21,2016-07,15,-21,-0.583333333333
22,2016-06,36,20,1.25
23,2016-05,16,-44,-0.733333333333
24,2016-04,60,21,0.538461538462
25,2016-03,39,-115,-0.746753246753
26,2016-02,154,102,1.96153846154
27,2016-01,52,0,0.0
28,2015-12,52,39,3.0
29,2015-11,13,-10,-0.434782608696
30,2015-10,23,14,1.55555555556
31,2015-09,9,-5,-0.357142857143
32,2015-08,14,-15,-0.51724137931
33,2015-07,29,9,0.45
34,2015-06,20,-172,-0.895833333333
35,2015-05,192,8,0.0434782608696
36,2015-04,184,158,6.07692307692
37,2015-03,26,-21,-0.446808510638
38,2015-02,47,37,3.7
39,2015-01,10,6,1.5
40,2014-12,4,-39,-0.906976744186
41,2014-11,43,-4,-0.0851063829787
42,2014-10,47,-26,-0.356164383562
43,2014-09,73,-33,-0.311320754717
44,2014-08,106,-192,-0.644295302013
45,2014-07,298,198,1.98
46,2014-06,100,83,4.88235294118
47,2012-11,17,16,16.0
48,2012-03,1,-2,-0.666666666667
49,2012-02,3,-4,-0.571428571429
50,2011-12,7,-16,-0.695652173913
51,2011-11,23,0,0.0
