,date,nums,increment,ratio
0,2018-04,29,-25,-0.462962962963
1,2018-03,54,15,0.384615384615
2,2018-02,39,-11,-0.22
3,2018-01,50,0,0.0
4,2017-12,50,8,0.190476190476
5,2017-11,42,7,0.2
6,2017-10,35,-16,-0.313725490196
7,2017-09,51,14,0.378378378378
8,2017-08,37,-9,-0.195652173913
9,2017-07,46,0,0.0
10,2017-06,46,11,0.314285714286
11,2017-05,35,-1,-0.0277777777778
12,2017-04,36,-12,-0.25
13,2017-03,48,15,0.454545454545
14,2017-02,33,10,0.434782608696
15,2017-01,23,-17,-0.425
16,2016-12,40,-2,-0.047619047619
17,2016-11,42,10,0.3125
18,2016-10,32,-22,-0.407407407407
19,2016-09,54,12,0.285714285714
20,2016-08,42,8,0.235294117647
21,2016-07,34,8,0.307692307692
22,2016-06,26,-4,-0.133333333333
23,2016-05,30,-10,-0.25
24,2016-04,40,10,0.333333333333
25,2016-03,30,5,0.2
26,2016-02,25,-11,-0.305555555556
27,2016-01,36,9,0.333333333333
28,2015-12,27,-1,-0.0357142857143
29,2015-11,28,-12,-0.3
30,2015-10,40,10,0.333333333333
31,2015-09,30,5,0.2
32,2015-08,25,-4,-0.137931034483
33,2015-07,29,1,0.0357142857143
34,2015-06,28,-24,-0.461538461538
35,2015-05,52,-4,-0.0714285714286
36,2015-04,56,23,0.69696969697
37,2015-03,33,16,0.941176470588
38,2015-02,17,-5,-0.227272727273
39,2015-01,22,2,0.1
40,2014-12,20,9,0.818181818182
41,2014-11,11,-8,-0.421052631579
42,2014-10,19,3,0.1875
43,2014-09,16,-4,-0.2
44,2014-08,20,5,0.333333333333
45,2014-07,15,4,0.363636363636
46,2014-06,11,0,0.0
