,date,nums,increment,ratio
0,2018-05,1,-25,-0.961538461538
1,2018-04,26,-1,-0.037037037037
2,2018-03,27,17,1.7
3,2018-02,10,-10,-0.5
4,2018-01,20,-7,-0.259259259259
5,2017-12,27,7,0.35
6,2017-11,20,-12,-0.375
7,2017-10,32,8,0.333333333333
8,2017-09,24,6,0.333333333333
9,2017-08,18,-11,-0.379310344828
10,2017-07,29,-3,-0.09375
11,2017-06,32,-2,-0.0588235294118
12,2017-05,34,16,0.888888888889
13,2017-04,18,-28,-0.608695652174
14,2017-03,46,7,0.179487179487
15,2017-02,39,21,1.16666666667
16,2017-01,18,3,0.2
17,2016-12,15,2,0.153846153846
18,2016-11,13,-18,-0.58064516129
19,2016-10,31,0,0.0
20,2016-09,31,7,0.291666666667
21,2016-08,24,-5,-0.172413793103
22,2016-07,29,2,0.0740740740741
23,2016-06,27,2,0.08
24,2016-05,25,-5,-0.166666666667
25,2016-04,30,4,0.153846153846
26,2016-03,26,-19,-0.422222222222
27,2016-02,45,29,1.8125
28,2016-01,16,-3,-0.157894736842
29,2015-12,19,-6,-0.24
30,2015-11,25,1,0.0416666666667
31,2015-10,24,7,0.411764705882
32,2015-09,17,-2,-0.105263157895
33,2015-08,19,-8,-0.296296296296
34,2015-07,27,5,0.227272727273
35,2015-06,22,-3,-0.12
36,2015-05,25,-26,-0.509803921569
37,2015-04,51,29,1.31818181818
38,2015-03,22,3,0.157894736842
39,2015-02,19,6,0.461538461538
40,2015-01,13,-1,-0.0714285714286
41,2014-12,14,-3,-0.176470588235
42,2014-11,17,-16,-0.484848484848
43,2014-10,33,6,0.222222222222
44,2014-09,27,-9,-0.25
45,2014-08,36,-20,-0.357142857143
46,2014-07,56,20,0.555555555556
47,2014-06,36,35,35.0
48,2014-03,1,0,0.0
