,date,nums,increment,ratio
0,2018-04,4,-6,-0.6
1,2018-03,10,6,1.5
2,2018-02,4,0,0.0
3,2018-01,4,-4,-0.5
4,2017-12,8,5,1.66666666667
5,2017-11,3,-5,-0.625
6,2017-10,8,0,0.0
7,2017-09,8,5,1.66666666667
8,2017-08,3,-6,-0.666666666667
9,2017-07,9,3,0.5
10,2017-06,6,-4,-0.4
11,2017-05,10,3,0.428571428571
12,2017-04,7,-9,-0.5625
13,2017-03,16,7,0.777777777778
14,2017-02,9,7,3.5
15,2017-01,2,0,0.0
16,2016-12,2,-1,-0.333333333333
17,2016-11,3,-6,-0.666666666667
18,2016-10,9,-3,-0.25
19,2016-09,12,5,0.714285714286
20,2016-08,7,-1,-0.125
21,2016-07,8,-1,-0.111111111111
22,2016-06,9,2,0.285714285714
23,2016-05,7,-5,-0.416666666667
24,2016-04,12,4,0.5
25,2016-03,8,-16,-0.666666666667
26,2016-02,24,19,3.8
27,2016-01,5,-2,-0.285714285714
28,2015-12,7,-1,-0.125
29,2015-11,8,1,0.142857142857
30,2015-10,7,1,0.166666666667
31,2015-09,6,-3,-0.333333333333
32,2015-08,9,-2,-0.181818181818
33,2015-07,11,7,1.75
34,2015-06,4,-6,-0.6
35,2015-05,10,-15,-0.6
36,2015-04,25,17,2.125
37,2015-03,8,-2,-0.2
38,2015-02,10,4,0.666666666667
39,2015-01,6,-3,-0.333333333333
40,2014-12,9,3,0.5
41,2014-11,6,-16,-0.727272727273
42,2014-10,22,7,0.466666666667
43,2014-09,15,-5,-0.25
44,2014-08,20,-17,-0.459459459459
45,2014-07,37,14,0.608695652174
46,2014-06,23,0,0.0
