,date,nums,increment,ratio
0,2018-04,140,-39,-0.217877094972
1,2018-03,179,71,0.657407407407
2,2018-02,108,-60,-0.357142857143
3,2018-01,168,7,0.0434782608696
4,2017-12,161,-20,-0.110497237569
5,2017-11,181,38,0.265734265734
6,2017-10,143,-22,-0.133333333333
7,2017-09,165,57,0.527777777778
8,2017-08,108,-23,-0.175572519084
9,2017-07,131,8,0.0650406504065
10,2017-06,123,4,0.0336134453782
11,2017-05,119,15,0.144230769231
12,2017-04,104,-46,-0.306666666667
13,2017-03,150,57,0.612903225806
14,2017-02,93,1,0.0108695652174
15,2017-01,92,-47,-0.338129496403
16,2016-12,139,25,0.219298245614
17,2016-11,114,-6,-0.05
18,2016-10,120,-74,-0.381443298969
19,2016-09,194,81,0.716814159292
20,2016-08,113,17,0.177083333333
21,2016-07,96,23,0.315068493151
22,2016-06,73,-31,-0.298076923077
23,2016-05,104,-2,-0.0188679245283
24,2016-04,106,19,0.218390804598
25,2016-03,87,-27,-0.236842105263
26,2016-02,114,-19,-0.142857142857
27,2016-01,133,32,0.316831683168
28,2015-12,101,-14,-0.121739130435
29,2015-11,115,-45,-0.28125
30,2015-10,160,62,0.632653061224
31,2015-09,98,-12,-0.109090909091
32,2015-08,110,-3,-0.0265486725664
33,2015-07,113,-17,-0.130769230769
34,2015-06,130,-73,-0.35960591133
35,2015-05,203,-175,-0.462962962963
36,2015-04,378,212,1.27710843373
37,2015-03,166,95,1.33802816901
38,2015-02,71,-49,-0.408333333333
39,2015-01,120,64,1.14285714286
40,2014-12,56,-31,-0.35632183908
41,2014-11,87,9,0.115384615385
42,2014-10,78,26,0.5
43,2014-09,52,-60,-0.535714285714
44,2014-08,112,21,0.230769230769
45,2014-07,91,16,0.213333333333
46,2014-06,75,74,74.0
47,2014-04,1,0,0.0
