,date,nums,increment,ratio
0,2018-04,10,-39,-0.795918367347
1,2018-03,49,7,0.166666666667
2,2018-02,42,-7,-0.142857142857
3,2018-01,49,-1,-0.02
4,2017-12,50,35,2.33333333333
5,2017-11,15,-85,-0.85
6,2017-10,100,18,0.219512195122
7,2017-09,82,52,1.73333333333
8,2017-08,30,-23,-0.433962264151
9,2017-07,53,14,0.358974358974
10,2017-06,39,19,0.95
11,2017-05,20,-7,-0.259259259259
12,2017-04,27,-76,-0.73786407767
13,2017-03,103,51,0.980769230769
14,2017-02,52,32,1.6
15,2017-01,20,3,0.176470588235
16,2016-12,17,-68,-0.8
17,2016-11,85,61,2.54166666667
18,2016-10,24,-48,-0.666666666667
19,2016-09,72,-9,-0.111111111111
20,2016-08,81,26,0.472727272727
21,2016-07,55,6,0.122448979592
22,2016-06,49,-40,-0.449438202247
23,2016-05,89,56,1.69696969697
24,2016-04,33,-63,-0.65625
25,2016-03,96,30,0.454545454545
26,2016-02,66,-28,-0.297872340426
27,2016-01,94,61,1.84848484848
28,2015-12,33,0,0.0
29,2015-11,33,26,3.71428571429
30,2015-10,7,-9,-0.5625
31,2015-08,16,2,0.142857142857
32,2015-07,14,-3,-0.176470588235
33,2015-06,17,-20,-0.540540540541
34,2015-05,37,6,0.193548387097
35,2015-04,31,21,2.1
36,2015-03,10,-1,-0.0909090909091
37,2015-02,11,7,1.75
38,2015-01,4,-44,-0.916666666667
39,2014-12,48,38,3.8
40,2014-11,10,9,9.0
41,2014-08,1,-2,-0.666666666667
42,2014-07,3,1,0.5
43,2014-06,2,-22,-0.916666666667
44,2014-05,24,8,0.5
45,2014-04,16,14,7.0
46,2014-03,2,0,0.0
47,2014-02,2,-26,-0.928571428571
48,2014-01,28,7,0.333333333333
49,2013-12,21,-7,-0.25
50,2013-11,28,26,13.0
51,2013-10,2,-29,-0.935483870968
52,2013-09,31,29,14.5
53,2013-08,2,-2,-0.5
54,2013-07,4,3,3.0
55,2013-05,1,-4,-0.8
56,2013-03,5,3,1.5
57,2013-02,2,0,0.0
58,2012-12,2,-5,-0.714285714286
59,2012-11,7,4,1.33333333333
60,2012-10,3,-19,-0.863636363636
61,2012-09,22,-9,-0.290322580645
62,2012-08,31,-12,-0.279069767442
63,2012-07,43,41,20.5
64,2011-04,2,-6,-0.75
65,2011-01,8,-9,-0.529411764706
66,2010-12,17,7,0.7
67,2010-05,10,4,0.666666666667
68,2009-11,6,2,0.5
69,2009-10,4,-56,-0.933333333333
70,2009-09,60,0,0.0
