,date,nums,increment,ratio
0,2018-04,11,1,0.1
1,2018-03,10,3,0.428571428571
2,2018-02,7,2,0.4
3,2018-01,5,2,0.666666666667
4,2017-12,3,-5,-0.625
5,2017-11,8,4,1.0
6,2017-10,4,-4,-0.5
7,2017-09,8,-3,-0.272727272727
8,2017-08,11,2,0.222222222222
9,2017-07,9,1,0.125
10,2017-06,8,1,0.142857142857
11,2017-05,7,0,0.0
12,2017-04,7,3,0.75
13,2017-03,4,-5,-0.555555555556
14,2017-02,9,5,1.25
15,2017-01,4,-1,-0.2
16,2016-12,5,-5,-0.5
17,2016-11,10,1,0.111111111111
18,2016-10,9,4,0.8
19,2016-09,5,-5,-0.5
20,2016-08,10,3,0.428571428571
21,2016-07,7,3,0.75
22,2016-06,4,-4,-0.5
23,2016-05,8,2,0.333333333333
24,2016-04,6,-1,-0.142857142857
25,2016-03,7,1,0.166666666667
26,2016-02,6,0,0.0
27,2016-01,6,-4,-0.4
28,2015-12,10,7,2.33333333333
29,2015-11,3,-3,-0.5
30,2015-10,6,1,0.2
31,2015-09,5,2,0.666666666667
32,2015-08,3,-2,-0.4
33,2015-07,5,-3,-0.375
34,2015-06,8,4,1.0
35,2015-05,4,-3,-0.428571428571
36,2015-04,7,-4,-0.363636363636
37,2015-03,11,9,4.5
38,2015-02,2,-2,-0.5
39,2015-01,4,2,1.0
40,2014-12,2,0,0.0
41,2014-11,2,1,1.0
42,2014-10,1,-3,-0.75
43,2014-09,4,0,0.0
44,2014-08,4,1,0.333333333333
45,2014-07,3,1,0.5
46,2014-06,2,-1,-0.333333333333
47,2014-05,3,-1,-0.25
48,2014-04,4,2,1.0
49,2014-03,2,-2,-0.5
50,2014-02,4,0,0.0
51,2014-01,4,1,0.333333333333
52,2013-12,3,0,0.0
53,2013-11,3,-1,-0.25
54,2013-10,4,1,0.333333333333
55,2013-09,3,0,0.0
56,2013-08,3,1,0.5
57,2013-07,2,-1,-0.333333333333
58,2013-06,3,1,0.5
59,2013-05,2,0,0.0
60,2013-03,2,1,1.0
61,2013-02,1,0,0.0
62,2013-01,1,-1,-0.5
63,2012-12,2,-2,-0.5
64,2012-11,4,3,3.0
65,2012-10,1,0,0.0
66,2012-09,1,-6,-0.857142857143
67,2012-08,7,5,2.5
68,2012-07,2,0,0.0
