,date,nums,increment,ratio
0,2018-04,29,-3,-0.09375
1,2018-03,32,7,0.28
2,2018-02,25,-11,-0.305555555556
3,2018-01,36,12,0.5
4,2017-12,24,6,0.333333333333
5,2017-11,18,-15,-0.454545454545
6,2017-10,33,19,1.35714285714
7,2017-09,14,-1,-0.0666666666667
8,2017-08,15,1,0.0714285714286
9,2017-07,14,-10,-0.416666666667
10,2017-06,24,15,1.66666666667
11,2017-05,9,0,0.0
12,2017-04,9,-27,-0.75
13,2017-03,36,5,0.161290322581
14,2017-02,31,14,0.823529411765
15,2017-01,17,0,0.0
16,2016-12,17,-8,-0.32
17,2016-11,25,15,1.5
18,2016-10,10,-12,-0.545454545455
19,2016-09,22,-5,-0.185185185185
20,2016-08,27,12,0.8
21,2016-07,15,-17,-0.53125
22,2016-06,32,-2,-0.0588235294118
23,2016-05,34,18,1.125
24,2016-04,16,-12,-0.428571428571
25,2016-03,28,1,0.037037037037
26,2016-02,27,7,0.35
27,2016-01,20,4,0.25
28,2015-12,16,8,1.0
29,2015-11,8,2,0.333333333333
30,2015-10,6,0,0.0
31,2015-08,6,-7,-0.538461538462
32,2015-07,13,-3,-0.1875
33,2015-06,16,7,0.777777777778
34,2015-05,9,5,1.25
35,2015-04,4,-2,-0.333333333333
36,2015-03,6,2,0.5
37,2015-02,4,1,0.333333333333
38,2015-01,3,-12,-0.8
39,2014-12,15,9,1.5
40,2014-11,6,5,5.0
41,2014-09,1,0,0.0
42,2014-08,1,-4,-0.8
43,2014-07,5,2,0.666666666667
44,2014-06,3,-9,-0.75
45,2014-05,12,3,0.333333333333
46,2014-04,9,7,3.5
47,2014-03,2,1,1.0
48,2014-02,1,-6,-0.857142857143
49,2014-01,7,-1,-0.125
50,2013-12,8,-1,-0.111111111111
51,2013-11,9,5,1.25
52,2013-10,4,-8,-0.666666666667
53,2013-09,12,11,11.0
54,2013-08,1,-2,-0.666666666667
55,2013-07,3,2,2.0
56,2013-06,1,-1,-0.5
57,2013-05,2,1,1.0
58,2013-04,1,-1,-0.5
59,2013-03,2,0,0.0
60,2013-02,2,-3,-0.6
61,2012-11,5,3,1.5
62,2012-10,2,1,1.0
63,2012-09,1,-7,-0.875
64,2012-08,8,6,3.0
65,2012-07,2,0,0.0
