,date,nums,increment,ratio
0,2018-04,8,-10,-0.555555555556
1,2018-03,18,3,0.2
2,2018-02,15,-4,-0.210526315789
3,2018-01,19,2,0.117647058824
4,2017-12,17,5,0.416666666667
5,2017-11,12,-11,-0.478260869565
6,2017-10,23,17,2.83333333333
7,2017-09,6,3,1.0
8,2017-08,3,-5,-0.625
9,2017-07,8,-7,-0.466666666667
10,2017-06,15,11,2.75
11,2017-05,4,-1,-0.2
12,2017-04,5,-21,-0.807692307692
13,2017-03,26,11,0.733333333333
14,2017-02,15,6,0.666666666667
15,2017-01,9,2,0.285714285714
16,2016-12,7,-9,-0.5625
17,2016-11,16,12,3.0
18,2016-10,4,-6,-0.6
19,2016-09,10,-6,-0.375
20,2016-08,16,7,0.777777777778
21,2016-07,9,-6,-0.4
22,2016-06,15,-6,-0.285714285714
23,2016-05,21,13,1.625
24,2016-04,8,-15,-0.652173913043
25,2016-03,23,5,0.277777777778
26,2016-02,18,2,0.125
27,2016-01,16,10,1.66666666667
28,2015-12,6,1,0.2
29,2015-11,5,2,0.666666666667
30,2015-10,3,0,0.0
31,2015-08,3,-3,-0.5
32,2015-07,6,0,0.0
33,2015-06,6,-2,-0.25
34,2015-05,8,4,1.0
35,2015-04,4,0,0.0
36,2015-03,4,2,1.0
37,2015-02,2,0,0.0
38,2015-01,2,-11,-0.846153846154
39,2014-12,13,8,1.6
40,2014-11,5,4,4.0
41,2014-08,1,0,0.0
42,2014-07,1,-1,-0.5
43,2014-06,2,-5,-0.714285714286
44,2014-05,7,2,0.4
45,2014-04,5,4,4.0
46,2014-03,1,-3,-0.75
47,2014-01,4,-2,-0.333333333333
48,2013-12,6,0,0.0
49,2013-11,6,3,1.0
50,2013-10,3,-8,-0.727272727273
51,2013-09,11,10,10.0
52,2013-08,1,-1,-0.5
53,2013-07,2,0,0.0
54,2013-05,2,0,0.0
55,2013-03,2,1,1.0
56,2013-02,1,-3,-0.75
57,2012-11,4,3,3.0
58,2012-09,1,-5,-0.833333333333
59,2012-08,6,4,2.0
60,2012-07,2,0,0.0
