,date,nums,increment,ratio
0,2018-03,11,-9,-0.45
1,2018-02,20,6,0.428571428571
2,2018-01,14,-47,-0.770491803279
3,2017-12,61,7,0.12962962963
4,2017-11,54,-20,-0.27027027027
5,2017-10,74,30,0.681818181818
6,2017-09,44,-67,-0.603603603604
7,2017-08,111,20,0.21978021978
8,2017-07,91,24,0.358208955224
9,2017-06,67,9,0.155172413793
10,2017-05,58,12,0.260869565217
11,2017-04,46,-18,-0.28125
12,2017-03,64,39,1.56
13,2017-02,25,-25,-0.5
14,2017-01,50,13,0.351351351351
15,2016-12,37,5,0.15625
16,2016-11,32,1,0.0322580645161
17,2016-10,31,11,0.55
18,2016-09,20,-20,-0.5
19,2016-08,40,-8,-0.166666666667
20,2016-07,48,20,0.714285714286
21,2016-06,28,-147,-0.84
22,2016-05,175,-391,-0.690812720848
23,2016-04,566,535,17.2580645161
24,2016-03,31,14,0.823529411765
25,2016-02,17,5,0.416666666667
26,2016-01,12,8,2.0
27,2015-11,4,-1,-0.2
28,2015-10,5,4,4.0
29,2015-09,1,-25,-0.961538461538
30,2015-08,26,17,1.88888888889
31,2015-07,9,-2,-0.181818181818
32,2015-06,11,1,0.1
33,2015-05,10,3,0.428571428571
34,2015-03,7,5,2.5
35,2015-02,2,-15,-0.882352941176
36,2015-01,17,14,4.66666666667
37,2014-12,3,-22,-0.88
38,2014-11,25,-60,-0.705882352941
39,2014-10,85,71,5.07142857143
40,2014-09,14,11,3.66666666667
41,2014-08,3,1,0.5
42,2014-07,2,0,0.0
43,2014-06,2,-3,-0.6
44,2014-05,5,3,1.5
45,2014-04,2,0,0.0
46,2014-03,2,-5,-0.714285714286
47,2014-02,7,1,0.166666666667
48,2014-01,6,3,1.0
49,2013-12,3,1,0.5
50,2013-11,2,-3,-0.6
51,2013-10,5,1,0.25
52,2013-09,4,-1,-0.2
53,2013-08,5,-61,-0.924242424242
54,2013-07,66,37,1.27586206897
55,2013-06,29,7,0.318181818182
56,2013-05,22,11,1.0
57,2013-04,11,2,0.222222222222
58,2013-03,9,1,0.125
59,2013-02,8,-7,-0.466666666667
60,2013-01,15,9,1.5
61,2012-12,6,-11,-0.647058823529
62,2012-11,17,14,4.66666666667
63,2012-10,3,1,0.5
64,2012-09,2,-6,-0.75
65,2012-08,8,-23,-0.741935483871
66,2012-07,31,13,0.722222222222
67,2012-06,18,9,1.0
68,2012-05,9,-16,-0.64
69,2012-04,25,-2,-0.0740740740741
70,2012-03,27,8,0.421052631579
71,2012-02,19,8,0.727272727273
72,2012-01,11,-40,-0.78431372549
73,2011-12,51,32,1.68421052632
74,2011-11,19,-24,-0.558139534884
75,2011-10,43,-20,-0.31746031746
76,2011-09,63,-24,-0.275862068966
77,2011-08,87,79,9.875
78,2011-07,8,0,0.0
