,date,nums,increment,ratio
0,2018-04,3,1,0.5
1,2018-03,2,0,0.0
2,2018-02,2,0,0.0
3,2018-01,2,1,1.0
4,2017-12,1,-7,-0.875
5,2017-11,8,-5,-0.384615384615
6,2017-10,13,8,1.6
7,2017-09,5,-11,-0.6875
8,2017-08,16,1,0.0666666666667
9,2017-07,15,6,0.666666666667
10,2017-06,9,3,0.5
11,2017-05,6,4,2.0
12,2017-04,2,-4,-0.666666666667
13,2017-03,6,-1,-0.142857142857
14,2017-02,7,5,2.5
15,2017-01,2,-3,-0.6
16,2016-12,5,0,0.0
17,2016-11,5,1,0.25
18,2016-10,4,0,0.0
19,2016-09,4,0,0.0
20,2016-08,4,-1,-0.2
21,2016-07,5,-2,-0.285714285714
22,2016-06,7,-3,-0.3
23,2016-05,10,-21,-0.677419354839
24,2016-04,31,26,5.2
25,2016-03,5,2,0.666666666667
26,2016-02,3,0,0.0
27,2016-01,3,-1,-0.25
28,2015-11,4,1,0.333333333333
29,2015-10,3,2,2.0
30,2015-09,1,-8,-0.888888888889
31,2015-08,9,6,2.0
32,2015-07,3,-5,-0.625
33,2015-06,8,5,1.66666666667
34,2015-05,3,2,2.0
35,2015-04,1,0,0.0
36,2015-02,1,0,0.0
37,2014-11,1,-4,-0.8
38,2014-09,5,4,4.0
39,2014-08,1,0,0.0
40,2014-07,1,0,0.0
41,2014-06,1,0,0.0
42,2014-04,1,0,0.0
43,2014-03,1,-2,-0.666666666667
44,2014-02,3,2,2.0
45,2014-01,1,0,0.0
46,2013-12,1,-2,-0.666666666667
47,2013-11,3,-1,-0.25
48,2013-10,4,1,0.333333333333
49,2013-09,3,2,2.0
50,2013-08,1,0,0.0
51,2013-07,1,0,0.0
52,2013-06,1,-1,-0.5
53,2013-04,2,1,1.0
54,2013-03,1,0,0.0
55,2013-02,1,-1,-0.5
56,2012-07,2,0,0.0
