,date,nums,increment,ratio
0,2018-04,267,-139,-0.34236453202
1,2018-03,406,117,0.404844290657
2,2018-02,289,-90,-0.23746701847
3,2018-01,379,-72,-0.159645232816
4,2017-12,451,25,0.0586854460094
5,2017-11,426,15,0.036496350365
6,2017-10,411,-14,-0.0329411764706
7,2017-09,425,-5,-0.0116279069767
8,2017-08,430,-59,-0.120654396728
9,2017-07,489,138,0.393162393162
10,2017-06,351,-4,-0.0112676056338
11,2017-05,355,-7,-0.0193370165746
12,2017-04,362,-257,-0.415185783522
13,2017-03,619,356,1.3536121673
14,2017-02,263,-5,-0.0186567164179
15,2017-01,268,-60,-0.182926829268
16,2016-12,328,48,0.171428571429
17,2016-11,280,5,0.0181818181818
18,2016-10,275,-6,-0.0213523131673
19,2016-09,281,-77,-0.215083798883
20,2016-08,358,23,0.0686567164179
21,2016-07,335,86,0.345381526104
22,2016-06,249,-101,-0.288571428571
23,2016-05,350,-42,-0.107142857143
24,2016-04,392,44,0.126436781609
25,2016-03,348,213,1.57777777778
26,2016-02,135,-89,-0.397321428571
27,2016-01,224,8,0.037037037037
28,2015-12,216,-3,-0.013698630137
29,2015-11,219,71,0.47972972973
30,2015-10,148,-17,-0.10303030303
31,2015-09,165,-51,-0.236111111111
32,2015-08,216,26,0.136842105263
33,2015-07,190,38,0.25
34,2015-06,152,-21,-0.121387283237
35,2015-05,173,35,0.253623188406
36,2015-04,138,-6,-0.0416666666667
37,2015-03,144,70,0.945945945946
38,2015-02,74,-226,-0.753333333333
39,2015-01,300,206,2.1914893617
40,2014-12,94,-8,-0.078431372549
41,2014-11,102,-30,-0.227272727273
42,2014-10,132,33,0.333333333333
43,2014-09,99,12,0.137931034483
44,2014-08,87,17,0.242857142857
45,2014-07,70,20,0.4
46,2014-06,50,-6,-0.107142857143
47,2014-05,56,2,0.037037037037
48,2014-04,54,6,0.125
49,2014-03,48,15,0.454545454545
50,2014-02,33,0,0.0
51,2014-01,33,-3,-0.0833333333333
52,2013-12,36,4,0.125
53,2013-11,32,7,0.28
54,2013-10,25,-4,-0.137931034483
55,2013-09,29,0,0.0
56,2013-08,29,-38,-0.567164179104
57,2013-07,67,41,1.57692307692
58,2013-06,26,2,0.0833333333333
59,2013-05,24,-3,-0.111111111111
60,2013-04,27,5,0.227272727273
61,2013-03,22,11,1.0
62,2013-02,11,8,2.66666666667
63,2013-01,3,0,0.0
64,2012-12,3,0,0.0
65,2012-11,3,0,0.0
66,2012-10,3,-2,-0.4
67,2012-09,5,2,0.666666666667
68,2012-08,3,-10,-0.769230769231
69,2012-07,13,12,12.0
70,2012-06,1,-1,-0.5
71,2012-05,2,-4,-0.666666666667
72,2012-04,6,-10,-0.625
73,2012-03,16,2,0.142857142857
74,2012-02,14,5,0.555555555556
75,2012-01,9,1,0.125
76,2011-12,8,-134,-0.943661971831
77,2011-11,142,0,0.0
