,date,nums,increment,ratio
0,2018-04,4,-2,-0.333333333333
1,2018-03,6,-5,-0.454545454545
2,2018-02,11,-12,-0.521739130435
3,2018-01,23,22,22.0
4,2017-12,1,-2,-0.666666666667
5,2017-11,3,-6,-0.666666666667
6,2017-10,9,-5,-0.357142857143
7,2017-09,14,-5,-0.263157894737
8,2017-08,19,9,0.9
9,2017-07,10,-7,-0.411764705882
10,2017-06,17,4,0.307692307692
11,2017-05,13,-1,-0.0714285714286
12,2017-04,14,7,1.0
13,2017-03,7,-8,-0.533333333333
14,2017-02,15,-6,-0.285714285714
15,2017-01,21,18,6.0
16,2016-12,3,-1,-0.25
17,2016-11,4,-3,-0.428571428571
18,2016-10,7,3,0.75
19,2016-09,4,0,0.0
20,2016-08,4,-1,-0.2
21,2016-07,5,-5,-0.5
22,2016-06,10,2,0.25
23,2016-05,8,-1,-0.111111111111
24,2016-04,9,0,0.0
25,2016-03,9,-3,-0.25
26,2016-02,12,4,0.5
27,2016-01,8,-3,-0.272727272727
28,2015-12,11,-9,-0.45
29,2015-11,20,-1,-0.047619047619
30,2015-10,21,7,0.5
31,2015-09,14,0,0.0
32,2015-08,14,7,1.0
33,2015-07,7,-6,-0.461538461538
34,2015-06,13,11,5.5
35,2015-05,2,-12,-0.857142857143
36,2015-04,14,11,3.66666666667
37,2015-03,3,-4,-0.571428571429
38,2015-02,7,-1,-0.125
39,2015-01,8,7,7.0
40,2014-12,1,-2,-0.666666666667
41,2014-11,3,-3,-0.5
42,2014-10,6,-12,-0.666666666667
43,2014-09,18,9,1.0
44,2014-08,9,-10,-0.526315789474
45,2014-07,19,10,1.11111111111
46,2014-06,9,3,0.5
47,2014-05,6,-4,-0.4
48,2014-04,10,-13,-0.565217391304
49,2014-03,23,16,2.28571428571
50,2014-02,7,-2,-0.222222222222
51,2014-01,9,-1,-0.1
52,2013-12,10,4,0.666666666667
53,2013-11,6,-16,-0.727272727273
54,2013-10,22,8,0.571428571429
55,2013-09,14,12,6.0
56,2013-08,2,-5,-0.714285714286
57,2013-07,7,3,0.75
58,2013-06,4,3,3.0
59,2013-05,1,-7,-0.875
60,2013-04,8,0,0.0
61,2013-03,8,2,0.333333333333
62,2013-02,6,3,1.0
63,2013-01,3,2,2.0
64,2012-12,1,-5,-0.833333333333
65,2012-10,6,4,2.0
66,2012-09,2,1,1.0
67,2012-08,1,0,0.0
68,2012-06,1,0,0.0
