,date,nums,increment,ratio
0,2018-04,22,-95,-0.811965811966
1,2018-03,117,79,2.07894736842
2,2018-02,38,2,0.0555555555556
3,2018-01,36,-69,-0.657142857143
4,2017-12,105,42,0.666666666667
5,2017-11,63,59,14.75
6,2017-10,4,-15,-0.789473684211
7,2017-09,19,13,2.16666666667
8,2017-08,6,-47,-0.88679245283
9,2017-07,53,22,0.709677419355
10,2017-06,31,8,0.347826086957
11,2017-05,23,-21,-0.477272727273
12,2017-04,44,36,4.5
13,2017-03,8,-19,-0.703703703704
14,2017-02,27,3,0.125
15,2017-01,24,-28,-0.538461538462
16,2016-12,52,16,0.444444444444
17,2016-11,36,-2,-0.0526315789474
18,2016-10,38,-14,-0.269230769231
19,2016-09,52,34,1.88888888889
20,2016-08,18,-41,-0.694915254237
21,2016-07,59,-45,-0.432692307692
22,2016-06,104,-24,-0.1875
23,2016-05,128,105,4.5652173913
24,2016-04,23,12,1.09090909091
25,2016-03,11,-15,-0.576923076923
26,2016-02,26,-26,-0.5
27,2016-01,52,12,0.3
28,2015-12,40,-30,-0.428571428571
29,2015-11,70,11,0.186440677966
30,2015-10,59,37,1.68181818182
31,2015-09,22,1,0.047619047619
32,2015-08,21,-31,-0.596153846154
33,2015-07,52,-1,-0.0188679245283
34,2015-06,53,-4,-0.0701754385965
35,2015-05,57,37,1.85
36,2015-04,20,-28,-0.583333333333
37,2015-03,48,-51,-0.515151515152
38,2015-02,99,-1,-0.01
39,2015-01,100,-7,-0.0654205607477
40,2014-12,107,69,1.81578947368
41,2014-11,38,-33,-0.464788732394
42,2014-10,71,-5,-0.0657894736842
43,2014-09,76,6,0.0857142857143
44,2014-08,70,-16,-0.186046511628
45,2014-07,86,-13,-0.131313131313
46,2014-06,99,16,0.192771084337
47,2014-05,83,-30,-0.265486725664
48,2014-04,113,-52,-0.315151515152
49,2014-03,165,50,0.434782608696
50,2014-02,115,36,0.455696202532
51,2014-01,79,10,0.144927536232
52,2013-12,69,-25,-0.265957446809
53,2013-11,94,36,0.620689655172
54,2013-10,58,23,0.657142857143
55,2013-09,35,-17,-0.326923076923
56,2013-08,52,-34,-0.395348837209
57,2013-07,86,52,1.52941176471
58,2013-06,34,-35,-0.507246376812
59,2013-05,69,39,1.3
60,2013-04,30,-102,-0.772727272727
61,2013-03,132,12,0.1
62,2013-02,120,64,1.14285714286
63,2013-01,56,42,3.0
64,2012-12,14,-31,-0.688888888889
65,2012-11,45,14,0.451612903226
66,2012-10,31,13,0.722222222222
67,2012-09,18,-5,-0.217391304348
68,2012-08,23,-16,-0.410256410256
69,2012-07,39,24,1.6
70,2012-06,15,-33,-0.6875
71,2012-05,48,-101,-0.677852348993
72,2012-04,149,57,0.619565217391
73,2012-03,92,16,0.210526315789
74,2012-02,76,13,0.206349206349
75,2012-01,63,1,0.0161290322581
76,2011-12,62,-38,-0.38
77,2011-11,100,14,0.162790697674
78,2011-10,86,-8,-0.0851063829787
79,2011-09,94,89,17.8
80,2011-08,5,-56,-0.918032786885
81,2011-07,61,-1,-0.0161290322581
82,2011-06,62,-41,-0.398058252427
83,2011-05,103,39,0.609375
84,2011-04,64,-23,-0.264367816092
85,2011-03,87,57,1.9
86,2011-02,30,-31,-0.508196721311
87,2011-01,61,-59,-0.491666666667
88,2010-12,120,49,0.69014084507
89,2010-11,71,14,0.245614035088
90,2010-10,57,1,0.0178571428571
91,2010-09,56,-32,-0.363636363636
92,2010-08,88,34,0.62962962963
93,2010-07,54,-35,-0.393258426966
94,2010-06,89,-115,-0.563725490196
95,2010-05,204,105,1.06060606061
96,2010-04,99,-23,-0.188524590164
97,2010-03,122,103,5.42105263158
98,2010-02,19,-57,-0.75
99,2010-01,76,8,0.117647058824
100,2009-12,68,-21,-0.23595505618
101,2009-11,89,31,0.534482758621
102,2009-10,58,46,3.83333333333
103,2009-09,12,11,11.0
104,2009-08,1,-6,-0.857142857143
105,2009-07,7,-30,-0.810810810811
106,2009-06,37,-24,-0.393442622951
107,2009-05,61,4,0.0701754385965
108,2009-04,57,12,0.266666666667
109,2009-03,45,0,0.0
