,date,nums,increment,ratio
0,2018-04,152,-73,-0.324444444444
1,2018-03,225,106,0.890756302521
2,2018-02,119,-23,-0.161971830986
3,2018-01,142,16,0.126984126984
4,2017-12,126,-30,-0.192307692308
5,2017-11,156,24,0.181818181818
6,2017-10,132,-48,-0.266666666667
7,2017-09,180,-1,-0.00552486187845
8,2017-08,181,33,0.222972972973
9,2017-07,148,12,0.0882352941176
10,2017-06,136,0,0.0
11,2017-05,136,-28,-0.170731707317
12,2017-04,164,-26,-0.136842105263
13,2017-03,190,41,0.275167785235
14,2017-02,149,54,0.568421052632
15,2017-01,95,-64,-0.40251572327
16,2016-12,159,21,0.152173913043
17,2016-11,138,20,0.169491525424
18,2016-10,118,-24,-0.169014084507
19,2016-09,142,-36,-0.202247191011
20,2016-08,178,49,0.37984496124
21,2016-07,129,-2,-0.0152671755725
22,2016-06,131,-26,-0.165605095541
23,2016-05,157,-24,-0.132596685083
24,2016-04,181,30,0.198675496689
25,2016-03,151,51,0.51
26,2016-02,100,-14,-0.122807017544
27,2016-01,114,-5,-0.0420168067227
28,2015-12,119,-6,-0.048
29,2015-11,125,20,0.190476190476
30,2015-10,105,8,0.0824742268041
31,2015-09,97,-18,-0.15652173913
32,2015-08,115,-5,-0.0416666666667
33,2015-07,120,12,0.111111111111
34,2015-06,108,10,0.102040816327
35,2015-05,98,-25,-0.20325203252
36,2015-04,123,34,0.38202247191
37,2015-03,89,32,0.561403508772
38,2015-02,57,-56,-0.495575221239
39,2015-01,113,11,0.107843137255
40,2014-12,102,-17,-0.142857142857
41,2014-11,119,5,0.0438596491228
42,2014-10,114,24,0.266666666667
43,2014-09,90,18,0.25
44,2014-08,72,-16,-0.181818181818
45,2014-07,88,0,0.0
46,2014-06,88,5,0.0602409638554
47,2014-05,83,-5,-0.0568181818182
48,2014-04,88,13,0.173333333333
49,2014-03,75,26,0.530612244898
50,2014-02,49,-9,-0.155172413793
51,2014-01,58,0,0.0
52,2013-12,58,-32,-0.355555555556
53,2013-11,90,19,0.267605633803
54,2013-10,71,31,0.775
55,2013-09,40,-14,-0.259259259259
56,2013-08,54,-12,-0.181818181818
57,2013-07,66,18,0.375
58,2013-06,48,3,0.0666666666667
59,2013-05,45,1,0.0227272727273
60,2013-04,44,-14,-0.241379310345
61,2013-03,58,20,0.526315789474
62,2013-02,38,-20,-0.344827586207
63,2013-01,58,3,0.0545454545455
64,2012-12,55,10,0.222222222222
65,2012-11,45,-1,-0.0217391304348
66,2012-10,46,14,0.4375
67,2012-09,32,-4,-0.111111111111
68,2012-08,36,13,0.565217391304
69,2012-07,23,-2,-0.08
70,2012-06,25,-6,-0.193548387097
71,2012-05,31,1,0.0333333333333
72,2012-04,30,3,0.111111111111
73,2012-03,27,2,0.08
74,2012-02,25,8,0.470588235294
75,2012-01,17,-7,-0.291666666667
76,2011-12,24,7,0.411764705882
77,2011-11,17,-3,-0.15
78,2011-10,20,8,0.666666666667
79,2011-09,12,3,0.333333333333
80,2011-08,9,-3,-0.25
81,2011-07,12,-5,-0.294117647059
82,2011-06,17,-5,-0.227272727273
83,2011-05,22,12,1.2
84,2011-04,10,3,0.428571428571
85,2011-03,7,-6,-0.461538461538
86,2011-02,13,0,0.0
87,2011-01,13,5,0.625
88,2010-12,8,-1,-0.111111111111
89,2010-11,9,3,0.5
90,2010-10,6,-2,-0.25
91,2010-09,8,3,0.6
92,2010-08,5,-2,-0.285714285714
93,2010-07,7,2,0.4
94,2010-06,5,-1,-0.166666666667
95,2010-05,6,3,1.0
96,2010-04,3,-10,-0.769230769231
97,2010-03,13,3,0.3
98,2010-02,10,7,2.33333333333
99,2010-01,3,1,0.5
100,2009-12,2,-3,-0.6
101,2009-11,5,2,0.666666666667
102,2009-10,3,-1,-0.25
103,2009-09,4,1,0.333333333333
104,2009-08,3,1,0.5
105,2009-06,2,-1,-0.333333333333
106,2009-05,3,1,0.5
107,2009-03,2,0,0.0
