,date,nums,increment,ratio
0,2018-05,1,-35,-0.972222222222
1,2018-04,36,0,0.0
2,2018-03,36,8,0.285714285714
3,2018-02,28,-1,-0.0344827586207
4,2018-01,29,2,0.0740740740741
5,2017-12,27,-8,-0.228571428571
6,2017-11,35,12,0.521739130435
7,2017-10,23,-5,-0.178571428571
8,2017-09,28,-15,-0.348837209302
9,2017-08,43,11,0.34375
10,2017-07,32,9,0.391304347826
11,2017-06,23,5,0.277777777778
12,2017-05,18,-3,-0.142857142857
13,2017-04,21,1,0.05
14,2017-03,20,1,0.0526315789474
15,2017-02,19,-6,-0.24
16,2017-01,25,-7,-0.21875
17,2016-12,32,10,0.454545454545
18,2016-11,22,-1,-0.0434782608696
19,2016-10,23,4,0.210526315789
20,2016-09,19,-5,-0.208333333333
21,2016-08,24,2,0.0909090909091
22,2016-07,22,-11,-0.333333333333
23,2016-06,33,-9,-0.214285714286
24,2016-05,42,30,2.5
25,2016-04,12,2,0.2
26,2016-03,10,-16,-0.615384615385
27,2016-02,26,7,0.368421052632
28,2016-01,19,-20,-0.512820512821
29,2015-12,39,22,1.29411764706
30,2015-11,17,-5,-0.227272727273
31,2015-10,22,9,0.692307692308
32,2015-09,13,-5,-0.277777777778
33,2015-08,18,0,0.0
34,2015-07,18,5,0.384615384615
35,2015-06,13,-5,-0.277777777778
36,2015-05,18,-13,-0.41935483871
37,2015-04,31,4,0.148148148148
38,2015-03,27,-11,-0.289473684211
39,2015-02,38,-3,-0.0731707317073
40,2015-01,41,9,0.28125
41,2014-12,32,10,0.454545454545
42,2014-11,22,-20,-0.47619047619
43,2014-10,42,21,1.0
44,2014-09,21,-11,-0.34375
45,2014-08,32,13,0.684210526316
46,2014-07,19,0,0.0
47,2014-06,19,-15,-0.441176470588
48,2014-05,34,-2,-0.0555555555556
49,2014-04,36,0,0.0
50,2014-03,36,16,0.8
51,2014-02,20,9,0.818181818182
52,2014-01,11,-14,-0.56
53,2013-12,25,5,0.25
54,2013-11,20,-3,-0.130434782609
55,2013-10,23,13,1.3
56,2013-09,10,-2,-0.166666666667
57,2013-08,12,-13,-0.52
58,2013-07,25,13,1.08333333333
59,2013-06,12,-9,-0.428571428571
60,2013-05,21,8,0.615384615385
61,2013-04,13,-4,-0.235294117647
62,2013-03,17,-8,-0.32
63,2013-02,25,-2,-0.0740740740741
64,2013-01,27,-3,-0.1
65,2012-12,30,10,0.5
66,2012-11,20,4,0.25
67,2012-10,16,12,3.0
68,2012-09,4,-8,-0.666666666667
69,2012-08,12,-8,-0.4
70,2012-07,20,11,1.22222222222
71,2012-06,9,-2,-0.181818181818
72,2012-05,11,-13,-0.541666666667
73,2012-04,24,6,0.333333333333
74,2012-03,18,8,0.8
75,2012-02,10,-2,-0.166666666667
76,2012-01,12,-2,-0.142857142857
77,2011-12,14,6,0.75
78,2011-11,8,-4,-0.333333333333
79,2011-10,12,9,3.0
80,2011-09,3,-2,-0.4
81,2011-08,5,-4,-0.444444444444
82,2011-07,9,-1,-0.1
83,2011-06,10,7,2.33333333333
84,2011-05,3,-1,-0.25
85,2011-04,4,2,1.0
86,2011-03,2,-4,-0.666666666667
87,2011-02,6,0,0.0
88,2011-01,6,2,0.5
89,2010-12,4,-3,-0.428571428571
90,2010-11,7,1,0.166666666667
91,2010-10,6,2,0.5
92,2010-09,4,0,0.0
