,date,nums,increment,ratio
0,2018-03,2,-2,-0.5
1,2018-02,4,2,1.0
2,2018-01,2,-52,-0.962962962963
3,2017-12,54,-52,-0.490566037736
4,2017-11,106,-16,-0.131147540984
5,2017-10,122,105,6.17647058824
6,2017-09,17,-2,-0.105263157895
7,2017-08,19,-26,-0.577777777778
8,2017-07,45,-46,-0.505494505495
9,2017-06,91,63,2.25
10,2017-05,28,-16,-0.363636363636
11,2017-04,44,-174,-0.798165137615
12,2017-03,218,108,0.981818181818
13,2017-02,110,-18,-0.140625
14,2017-01,128,-154,-0.54609929078
15,2016-12,282,-65,-0.187319884726
16,2016-11,347,291,5.19642857143
17,2016-10,56,21,0.6
18,2016-09,35,-6,-0.146341463415
19,2016-08,41,-8,-0.163265306122
20,2016-07,49,-51,-0.51
21,2016-06,100,-47,-0.319727891156
22,2016-05,147,120,4.44444444444
23,2016-04,27,-54,-0.666666666667
24,2016-03,81,66,4.4
25,2016-02,15,-47,-0.758064516129
26,2016-01,62,-42,-0.403846153846
27,2015-12,104,72,2.25
28,2015-11,32,-29,-0.475409836066
29,2015-10,61,-5,-0.0757575757576
30,2015-09,66,38,1.35714285714
31,2015-08,28,8,0.4
32,2015-07,20,-277,-0.93265993266
33,2015-06,297,192,1.82857142857
34,2015-05,105,86,4.52631578947
35,2015-04,19,-11,-0.366666666667
36,2015-03,30,19,1.72727272727
37,2015-02,11,-116,-0.913385826772
38,2015-01,127,97,3.23333333333
39,2014-12,30,-42,-0.583333333333
40,2014-11,72,-19,-0.208791208791
41,2014-10,91,10,0.123456790123
42,2014-09,81,52,1.79310344828
43,2014-08,29,-81,-0.736363636364
44,2014-07,110,-40,-0.266666666667
45,2014-06,150,124,4.76923076923
46,2014-05,26,-15,-0.365853658537
47,2014-04,41,-21,-0.338709677419
48,2014-03,62,23,0.589743589744
49,2014-02,39,-81,-0.675
50,2014-01,120,93,3.44444444444
51,2013-12,27,-45,-0.625
52,2013-11,72,69,23.0
53,2013-10,3,-59,-0.951612903226
54,2013-09,62,17,0.377777777778
55,2013-08,45,44,44.0
56,2013-07,1,-37,-0.973684210526
57,2013-06,38,-18,-0.321428571429
58,2013-05,56,-16,-0.222222222222
59,2013-04,72,-17,-0.191011235955
60,2013-03,89,-294,-0.767624020888
61,2013-02,383,270,2.38938053097
62,2013-01,113,-27,-0.192857142857
63,2012-12,140,-16,-0.102564102564
64,2012-11,156,19,0.138686131387
65,2012-10,137,44,0.47311827957
66,2012-09,93,17,0.223684210526
67,2012-08,76,-57,-0.428571428571
68,2012-07,133,108,4.32
69,2012-06,25,8,0.470588235294
70,2012-05,17,-38,-0.690909090909
71,2012-04,55,-63,-0.533898305085
72,2012-03,118,-61,-0.340782122905
73,2012-02,179,110,1.59420289855
74,2012-01,69,-17,-0.197674418605
75,2011-12,86,-109,-0.558974358974
76,2011-11,195,138,2.42105263158
77,2011-10,57,9,0.1875
78,2011-09,48,44,11.0
79,2011-08,4,-66,-0.942857142857
80,2011-07,70,25,0.555555555556
81,2011-06,45,43,21.5
82,2011-03,2,1,1.0
83,2011-02,1,-1,-0.5
84,2011-01,2,0,0.0
85,2010-11,2,1,1.0
86,2010-07,1,-7,-0.875
87,2010-06,8,-59,-0.880597014925
88,2010-05,67,43,1.79166666667
89,2010-04,24,-13,-0.351351351351
90,2010-03,37,-26,-0.412698412698
91,2010-02,63,52,4.72727272727
92,2010-01,11,0,0.0
