,date,nums,increment,ratio
0,2018-04,22,-14,-0.388888888889
1,2018-03,36,0,0.0
2,2018-02,36,5,0.161290322581
3,2018-01,31,-8,-0.205128205128
4,2017-12,39,-3,-0.0714285714286
5,2017-11,42,10,0.3125
6,2017-10,32,-5,-0.135135135135
7,2017-09,37,4,0.121212121212
8,2017-08,33,0,0.0
9,2017-07,33,-6,-0.153846153846
10,2017-06,39,11,0.392857142857
11,2017-05,28,-1,-0.0344827586207
12,2017-04,29,-7,-0.194444444444
13,2017-03,36,2,0.0588235294118
14,2017-02,34,9,0.36
15,2017-01,25,-4,-0.137931034483
16,2016-12,29,-17,-0.369565217391
17,2016-11,46,30,1.875
18,2016-10,16,-3,-0.157894736842
19,2016-09,19,-3,-0.136363636364
20,2016-08,22,-4,-0.153846153846
21,2016-07,26,8,0.444444444444
22,2016-06,18,-8,-0.307692307692
23,2016-05,26,-2,-0.0714285714286
24,2016-04,28,11,0.647058823529
25,2016-03,17,5,0.416666666667
26,2016-02,12,4,0.5
27,2016-01,8,-11,-0.578947368421
28,2015-12,19,8,0.727272727273
29,2015-11,11,3,0.375
30,2015-10,8,-4,-0.333333333333
31,2015-09,12,3,0.333333333333
32,2015-08,9,-2,-0.181818181818
33,2015-07,11,3,0.375
34,2015-06,8,0,0.0
35,2015-05,8,-3,-0.272727272727
36,2015-04,11,5,0.833333333333
37,2015-03,6,1,0.2
38,2015-02,5,-1,-0.166666666667
39,2015-01,6,-6,-0.5
40,2014-12,12,2,0.2
41,2014-11,10,2,0.25
42,2014-10,8,2,0.333333333333
43,2014-09,6,1,0.2
44,2014-08,5,0,0.0
45,2014-07,5,-2,-0.285714285714
46,2014-06,7,3,0.75
47,2014-05,4,0,0.0
48,2014-04,4,-3,-0.428571428571
49,2014-03,7,2,0.4
50,2014-02,5,-3,-0.375
51,2014-01,8,4,1.0
52,2013-12,4,0,0.0
53,2013-11,4,-2,-0.333333333333
54,2013-10,6,4,2.0
55,2013-09,2,-4,-0.666666666667
56,2013-08,6,-2,-0.25
57,2013-07,8,6,3.0
58,2013-06,2,1,1.0
59,2013-05,1,-1,-0.5
60,2013-04,2,-2,-0.5
61,2013-03,4,1,0.333333333333
62,2013-02,3,-4,-0.571428571429
63,2013-01,7,6,6.0
64,2012-12,1,0,0.0
65,2012-11,1,-1,-0.5
66,2012-10,2,1,1.0
67,2012-09,1,0,0.0
68,2012-06,1,0,0.0
69,2012-04,1,0,0.0
70,2012-03,1,0,0.0
71,2012-02,1,-2,-0.666666666667
72,2012-01,3,2,2.0
73,2011-08,1,0,0.0
74,2011-07,1,0,0.0
