,date,nums,increment,ratio
0,2018-04,4,-2,-0.333333333333
1,2018-03,6,-3,-0.333333333333
2,2018-02,9,-2,-0.181818181818
3,2018-01,11,-12,-0.521739130435
4,2017-12,23,-9,-0.28125
5,2017-11,32,-2,-0.0588235294118
6,2017-10,34,18,1.125
7,2017-09,16,7,0.777777777778
8,2017-08,9,-8,-0.470588235294
9,2017-07,17,-8,-0.32
10,2017-06,25,12,0.923076923077
11,2017-05,13,-10,-0.434782608696
12,2017-04,23,-35,-0.603448275862
13,2017-03,58,10,0.208333333333
14,2017-02,48,8,0.2
15,2017-01,40,-37,-0.480519480519
16,2016-12,77,12,0.184615384615
17,2016-11,65,59,9.83333333333
18,2016-10,6,-6,-0.5
19,2016-09,12,-1,-0.0769230769231
20,2016-08,13,9,2.25
21,2016-07,4,-2,-0.333333333333
22,2016-06,6,3,1.0
23,2016-05,3,-5,-0.625
24,2016-04,8,-5,-0.384615384615
25,2016-03,13,6,0.857142857143
26,2016-02,7,3,0.75
27,2016-01,4,-10,-0.714285714286
28,2015-12,14,5,0.555555555556
29,2015-11,9,-7,-0.4375
30,2015-10,16,6,0.6
31,2015-09,10,3,0.428571428571
32,2015-08,7,3,0.75
33,2015-07,4,-32,-0.888888888889
34,2015-06,36,24,2.0
35,2015-05,12,6,1.0
36,2015-04,6,4,2.0
37,2015-03,2,-2,-0.5
38,2015-02,4,-12,-0.75
39,2015-01,16,13,4.33333333333
40,2014-12,3,-4,-0.571428571429
41,2014-11,7,-14,-0.666666666667
42,2014-10,21,2,0.105263157895
43,2014-09,19,14,2.8
44,2014-08,5,0,0.0
45,2014-07,5,-34,-0.871794871795
46,2014-06,39,27,2.25
47,2014-05,12,2,0.2
48,2014-04,10,-12,-0.545454545455
49,2014-03,22,16,2.66666666667
50,2014-02,6,-39,-0.866666666667
51,2014-01,45,38,5.42857142857
52,2013-12,7,-4,-0.363636363636
53,2013-11,11,7,1.75
54,2013-10,4,3,3.0
55,2013-09,1,-5,-0.833333333333
56,2013-08,6,5,5.0
57,2013-07,1,-15,-0.9375
58,2013-06,16,3,0.230769230769
59,2013-05,13,2,0.181818181818
60,2013-04,11,-9,-0.45
61,2013-03,20,9,0.818181818182
62,2013-02,11,-17,-0.607142857143
63,2013-01,28,18,1.8
64,2012-12,10,6,1.5
65,2012-11,4,3,3.0
66,2012-10,1,0,0.0
67,2012-09,1,0,0.0
68,2012-04,1,-2,-0.666666666667
69,2012-03,3,-6,-0.666666666667
70,2012-02,9,7,3.5
71,2012-01,2,0,0.0
