,date,nums,increment,ratio
0,2018-04,102,-37,-0.26618705036
1,2018-03,139,28,0.252252252252
2,2018-02,111,-50,-0.310559006211
3,2018-01,161,-3,-0.0182926829268
4,2017-12,164,39,0.312
5,2017-11,125,-10,-0.0740740740741
6,2017-10,135,46,0.516853932584
7,2017-09,89,-11,-0.11
8,2017-08,100,-12,-0.107142857143
9,2017-07,112,14,0.142857142857
10,2017-06,98,-25,-0.20325203252
11,2017-05,123,22,0.217821782178
12,2017-04,101,-22,-0.178861788618
13,2017-03,123,19,0.182692307692
14,2017-02,104,-6,-0.0545454545455
15,2017-01,110,-50,-0.3125
16,2016-12,160,46,0.40350877193
17,2016-11,114,47,0.701492537313
18,2016-10,67,15,0.288461538462
19,2016-09,52,-16,-0.235294117647
20,2016-08,68,7,0.114754098361
21,2016-07,61,-1,-0.0161290322581
22,2016-06,62,-2,-0.03125
23,2016-05,64,0,0.0
24,2016-04,64,-18,-0.219512195122
25,2016-03,82,26,0.464285714286
26,2016-02,56,-16,-0.222222222222
27,2016-01,72,14,0.241379310345
28,2015-12,58,22,0.611111111111
29,2015-11,36,2,0.0588235294118
30,2015-10,34,-21,-0.381818181818
31,2015-09,55,15,0.375
32,2015-08,40,17,0.739130434783
33,2015-07,23,-14,-0.378378378378
34,2015-06,37,2,0.0571428571429
35,2015-05,35,-1,-0.0277777777778
36,2015-04,36,2,0.0588235294118
37,2015-03,34,3,0.0967741935484
38,2015-02,31,-1,-0.03125
39,2015-01,32,6,0.230769230769
40,2014-12,26,7,0.368421052632
41,2014-11,19,-15,-0.441176470588
42,2014-10,34,11,0.478260869565
43,2014-09,23,4,0.210526315789
44,2014-08,19,3,0.1875
45,2014-07,16,-10,-0.384615384615
46,2014-06,26,2,0.0833333333333
47,2014-05,24,1,0.0434782608696
48,2014-04,23,-8,-0.258064516129
49,2014-03,31,3,0.107142857143
50,2014-02,28,9,0.473684210526
51,2014-01,19,2,0.117647058824
52,2013-12,17,-2,-0.105263157895
53,2013-11,19,3,0.1875
54,2013-10,16,5,0.454545454545
55,2013-09,11,-4,-0.266666666667
56,2013-08,15,1,0.0714285714286
57,2013-07,14,-2,-0.125
58,2013-06,16,5,0.454545454545
59,2013-05,11,-11,-0.5
60,2013-04,22,2,0.1
61,2013-03,20,8,0.666666666667
62,2013-02,12,10,5.0
63,2012-09,2,-3,-0.6
64,2012-08,5,3,1.5
65,2012-07,2,1,1.0
66,2012-06,1,-1,-0.5
67,2012-05,2,-3,-0.6
68,2012-04,5,4,4.0
69,2012-03,1,-2,-0.666666666667
70,2012-02,3,0,0.0
71,2012-01,3,-2,-0.4
72,2011-12,5,4,4.0
73,2011-11,1,0,0.0
74,2011-10,1,-1,-0.5
75,2011-09,2,0,0.0
76,2011-08,2,-2,-0.5
77,2011-07,4,2,1.0
78,2011-06,2,0,0.0
79,2011-05,2,-1,-0.333333333333
80,2011-04,3,-3,-0.5
81,2011-03,6,4,2.0
82,2011-01,2,-2,-0.5
83,2010-12,4,2,1.0
84,2010-11,2,-4,-0.666666666667
85,2010-10,6,3,1.0
86,2010-09,3,-2,-0.4
87,2010-08,5,2,0.666666666667
88,2010-07,3,-3,-0.5
89,2010-06,6,2,0.5
90,2010-05,4,1,0.333333333333
91,2010-04,3,-1,-0.25
92,2010-03,4,-32,-0.888888888889
93,2010-02,36,0,0.0
