,date,nums,increment,ratio
0,2018-04,7,-4,-0.363636363636
1,2018-03,11,6,1.2
2,2018-02,5,-5,-0.5
3,2018-01,10,-13,-0.565217391304
4,2017-12,23,10,0.769230769231
5,2017-11,13,-6,-0.315789473684
6,2017-10,19,-7,-0.269230769231
7,2017-09,26,17,1.88888888889
8,2017-08,9,-2,-0.181818181818
9,2017-07,11,-28,-0.717948717949
10,2017-06,39,7,0.21875
11,2017-05,32,9,0.391304347826
12,2017-04,23,4,0.210526315789
13,2017-03,19,-12,-0.387096774194
14,2017-02,31,3,0.107142857143
15,2017-01,28,-2,-0.0666666666667
16,2016-12,30,-40,-0.571428571429
17,2016-11,70,27,0.627906976744
18,2016-10,43,-12,-0.218181818182
19,2016-09,55,22,0.666666666667
20,2016-08,33,-28,-0.459016393443
21,2016-07,61,13,0.270833333333
22,2016-06,48,-26,-0.351351351351
23,2016-05,74,18,0.321428571429
24,2016-04,56,9,0.191489361702
25,2016-03,47,-2,-0.0408163265306
26,2016-02,49,10,0.25641025641
27,2016-01,39,-6,-0.133333333333
28,2015-12,45,-16,-0.262295081967
29,2015-11,61,9,0.173076923077
30,2015-10,52,3,0.0612244897959
31,2015-09,49,-7,-0.125
32,2015-08,56,-11,-0.164179104478
33,2015-07,67,-30,-0.309278350515
34,2015-06,97,24,0.328767123288
35,2015-05,73,2,0.0281690140845
36,2015-04,71,-11,-0.134146341463
37,2015-03,82,23,0.389830508475
38,2015-02,59,-21,-0.2625
39,2015-01,80,30,0.6
40,2014-12,50,26,1.08333333333
41,2014-11,24,-26,-0.52
42,2014-10,50,25,1.0
43,2014-09,25,-33,-0.568965517241
44,2014-08,58,-8,-0.121212121212
45,2014-07,66,21,0.466666666667
46,2014-06,45,1,0.0227272727273
47,2014-05,44,19,0.76
48,2014-04,25,-62,-0.712643678161
49,2014-03,87,4,0.0481927710843
50,2014-02,83,9,0.121621621622
51,2014-01,74,28,0.608695652174
52,2013-12,46,-41,-0.471264367816
53,2013-11,87,-54,-0.382978723404
54,2013-10,141,57,0.678571428571
55,2013-09,84,16,0.235294117647
56,2013-08,68,6,0.0967741935484
57,2013-07,62,-10,-0.138888888889
58,2013-06,72,-42,-0.368421052632
59,2013-05,114,72,1.71428571429
60,2013-04,42,-9,-0.176470588235
61,2013-03,51,-54,-0.514285714286
62,2013-02,105,-76,-0.419889502762
63,2013-01,181,98,1.18072289157
64,2012-12,83,-52,-0.385185185185
65,2012-11,135,13,0.106557377049
66,2012-10,122,-15,-0.109489051095
67,2012-09,137,74,1.1746031746
68,2012-08,63,-12,-0.16
69,2012-07,75,24,0.470588235294
70,2012-06,51,16,0.457142857143
71,2012-05,35,-31,-0.469696969697
72,2012-04,66,6,0.1
73,2012-03,60,-6,-0.0909090909091
74,2012-02,66,31,0.885714285714
75,2012-01,35,-14,-0.285714285714
76,2011-12,49,8,0.19512195122
77,2011-11,41,-36,-0.467532467532
78,2011-10,77,18,0.305084745763
79,2011-09,59,-9,-0.132352941176
80,2011-08,68,10,0.172413793103
81,2011-07,58,21,0.567567567568
82,2011-06,37,-1,-0.0263157894737
83,2011-05,38,3,0.0857142857143
84,2011-04,35,-62,-0.639175257732
85,2011-03,97,43,0.796296296296
86,2011-02,54,9,0.2
87,2011-01,45,-1,-0.0217391304348
88,2010-12,46,-15,-0.245901639344
89,2010-11,61,5,0.0892857142857
90,2010-10,56,-5,-0.0819672131148
91,2010-09,61,-25,-0.290697674419
92,2010-08,86,3,0.0361445783133
93,2010-07,83,16,0.238805970149
94,2010-06,67,4,0.0634920634921
95,2010-05,63,15,0.3125
96,2010-04,48,-9,-0.157894736842
97,2010-03,57,-37,-0.393617021277
98,2010-02,94,24,0.342857142857
99,2010-01,70,40,1.33333333333
100,2009-12,30,-25,-0.454545454545
101,2009-11,55,20,0.571428571429
102,2009-10,35,-102,-0.744525547445
103,2009-09,137,81,1.44642857143
104,2009-08,56,-2,-0.0344827586207
105,2009-07,58,18,0.45
106,2009-06,40,1,0.025641025641
107,2009-05,39,8,0.258064516129
108,2009-04,31,-3,-0.0882352941176
109,2009-03,34,-41,-0.546666666667
110,2009-02,75,23,0.442307692308
111,2009-01,52,18,0.529411764706
112,2008-12,34,4,0.133333333333
113,2008-11,30,-17,-0.36170212766
114,2008-10,47,-22,-0.31884057971
115,2008-09,69,26,0.604651162791
116,2008-08,43,11,0.34375
117,2008-07,32,-19,-0.372549019608
118,2008-06,51,-22,-0.301369863014
119,2008-05,73,-95,-0.565476190476
120,2008-04,168,28,0.2
121,2008-03,140,64,0.842105263158
122,2008-02,76,36,0.9
123,2008-01,40,3,0.0810810810811
124,2007-12,37,11,0.423076923077
125,2007-11,26,-49,-0.653333333333
126,2007-10,75,36,0.923076923077
127,2007-09,39,-3,-0.0714285714286
128,2007-08,42,-22,-0.34375
129,2007-07,64,-14,-0.179487179487
130,2007-06,78,64,4.57142857143
131,2007-05,14,7,1.0
132,2007-04,7,-151,-0.955696202532
133,2007-03,158,60,0.612244897959
134,2007-02,98,53,1.17777777778
135,2007-01,45,-4,-0.0816326530612
136,2006-12,49,-88,-0.642335766423
137,2006-11,137,30,0.280373831776
138,2006-10,107,37,0.528571428571
139,2006-09,70,-34,-0.326923076923
140,2006-08,104,-104,-0.5
141,2006-07,208,46,0.283950617284
142,2006-06,162,72,0.8
143,2006-05,90,-60,-0.4
144,2006-04,150,-240,-0.615384615385
145,2006-03,390,186,0.911764705882
146,2006-02,204,26,0.14606741573
147,2006-01,178,-39,-0.179723502304
148,2005-12,217,0,0.0
