,date,nums,increment,ratio
0,2018-04,16,0,0.0
1,2018-03,16,2,0.142857142857
2,2018-02,14,-5,-0.263157894737
3,2018-01,19,-2,-0.0952380952381
4,2017-12,21,0,0.0
5,2017-11,21,0,0.0
6,2017-10,21,10,0.909090909091
7,2017-09,11,-10,-0.47619047619
8,2017-08,21,4,0.235294117647
9,2017-07,17,-4,-0.190476190476
10,2017-06,21,-3,-0.125
11,2017-05,24,8,0.5
12,2017-04,16,-4,-0.2
13,2017-03,20,5,0.333333333333
14,2017-02,15,-2,-0.117647058824
15,2017-01,17,0,0.0
16,2016-12,17,-1,-0.0555555555556
17,2016-11,18,1,0.0588235294118
18,2016-10,17,-3,-0.15
19,2016-09,20,-3,-0.130434782609
20,2016-08,23,10,0.769230769231
21,2016-07,13,-9,-0.409090909091
22,2016-06,22,1,0.047619047619
23,2016-05,21,0,0.0
24,2016-04,21,6,0.4
25,2016-03,15,1,0.0714285714286
26,2016-02,14,-8,-0.363636363636
27,2016-01,22,7,0.466666666667
28,2015-12,15,-1,-0.0625
29,2015-11,16,11,2.2
30,2015-10,5,-8,-0.615384615385
31,2015-09,13,-3,-0.1875
32,2015-08,16,2,0.142857142857
33,2015-07,14,-7,-0.333333333333
34,2015-06,21,9,0.75
35,2015-05,12,-3,-0.2
36,2015-04,15,-7,-0.318181818182
37,2015-03,22,13,1.44444444444
38,2015-02,9,1,0.125
39,2015-01,8,-1,-0.111111111111
40,2014-12,9,3,0.5
41,2014-11,6,-10,-0.625
42,2014-10,16,8,1.0
43,2014-09,8,-1,-0.111111111111
44,2014-08,9,2,0.285714285714
45,2014-07,7,-1,-0.125
46,2014-06,8,0,0.0
47,2014-05,8,2,0.333333333333
48,2014-04,6,-2,-0.25
49,2014-03,8,4,1.0
50,2014-02,4,-1,-0.2
51,2014-01,5,1,0.25
52,2013-12,4,2,1.0
53,2013-11,2,0,0.0
54,2013-10,2,0,0.0
55,2013-09,2,-1,-0.333333333333
56,2013-08,3,0,0.0
57,2013-07,3,-2,-0.4
58,2013-06,5,-1,-0.166666666667
59,2013-05,6,4,2.0
60,2013-03,2,1,1.0
61,2013-02,1,0,0.0
62,2013-01,1,-1,-0.5
63,2012-12,2,1,1.0
64,2012-11,1,0,0.0
65,2012-10,1,0,0.0
66,2012-09,1,0,0.0
67,2012-04,1,0,0.0
68,2012-03,1,0,0.0
69,2012-02,1,0,0.0
70,2011-09,1,0,0.0
71,2011-07,1,-1,-0.5
72,2011-06,2,1,1.0
73,2011-03,1,-1,-0.5
74,2010-10,2,0,0.0
