,date,nums,increment,ratio
0,2018-04,1,-2,-0.666666666667
1,2018-03,3,-1,-0.25
2,2018-02,4,1,0.333333333333
3,2018-01,3,-1,-0.25
4,2017-12,4,1,0.333333333333
5,2017-11,3,-1,-0.25
6,2017-10,4,2,1.0
7,2017-09,2,-1,-0.333333333333
8,2017-07,3,-14,-0.823529411765
9,2017-06,17,12,2.4
10,2017-05,5,3,1.5
11,2017-04,2,-1,-0.333333333333
12,2017-03,3,1,0.5
13,2017-02,2,-1,-0.333333333333
14,2017-01,3,-3,-0.5
15,2016-12,6,-3,-0.333333333333
16,2016-11,9,4,0.8
17,2016-10,5,0,0.0
18,2016-09,5,1,0.25
19,2016-08,4,1,0.333333333333
20,2016-07,3,0,0.0
21,2016-06,3,-1,-0.25
22,2016-05,4,-3,-0.428571428571
23,2016-04,7,1,0.166666666667
24,2016-03,6,2,0.5
25,2016-02,4,1,0.333333333333
26,2016-01,3,1,0.5
27,2015-12,2,-4,-0.666666666667
28,2015-11,6,-2,-0.25
29,2015-10,8,1,0.142857142857
30,2015-09,7,4,1.33333333333
31,2015-08,3,-10,-0.769230769231
32,2015-07,13,-5,-0.277777777778
33,2015-06,18,8,0.8
34,2015-05,10,-11,-0.52380952381
35,2015-04,21,11,1.1
36,2015-03,10,3,0.428571428571
37,2015-02,7,2,0.4
38,2015-01,5,2,0.666666666667
39,2014-12,3,0,0.0
40,2014-11,3,1,0.5
41,2014-10,2,1,1.0
42,2014-09,1,-5,-0.833333333333
43,2014-08,6,-3,-0.333333333333
44,2014-07,9,6,2.0
45,2014-06,3,-3,-0.5
46,2014-05,6,4,2.0
47,2014-04,2,0,0.0
48,2014-03,2,-3,-0.6
49,2014-02,5,-1,-0.166666666667
50,2014-01,6,5,5.0
51,2013-12,1,0,0.0
52,2013-10,1,0,0.0
53,2013-07,1,0,0.0
54,2013-03,1,0,0.0
55,2011-03,1,0,0.0
