,date,nums,increment,ratio
0,2018-04,34,2,0.0625
1,2018-03,32,4,0.142857142857
2,2018-02,28,-9,-0.243243243243
3,2018-01,37,9,0.321428571429
4,2017-12,28,-3,-0.0967741935484
5,2017-11,31,6,0.24
6,2017-10,25,-1,-0.0384615384615
7,2017-09,26,0,0.0
8,2017-08,26,2,0.0833333333333
9,2017-07,24,-6,-0.2
10,2017-06,30,7,0.304347826087
11,2017-05,23,5,0.277777777778
12,2017-04,18,-15,-0.454545454545
13,2017-03,33,0,0.0
14,2017-02,33,7,0.269230769231
15,2017-01,26,-2,-0.0714285714286
16,2016-12,28,6,0.272727272727
17,2016-11,22,-5,-0.185185185185
18,2016-10,27,1,0.0384615384615
19,2016-09,26,0,0.0
20,2016-08,26,-2,-0.0714285714286
21,2016-07,28,7,0.333333333333
22,2016-06,21,1,0.05
23,2016-05,20,-2,-0.0909090909091
24,2016-04,22,1,0.047619047619
25,2016-03,21,9,0.75
26,2016-02,12,-10,-0.454545454545
27,2016-01,22,6,0.375
28,2015-12,16,-4,-0.2
29,2015-11,20,6,0.428571428571
30,2015-10,14,-4,-0.222222222222
31,2015-09,18,2,0.125
32,2015-08,16,0,0.0
33,2015-07,16,-3,-0.157894736842
34,2015-06,19,3,0.1875
35,2015-05,16,5,0.454545454545
36,2015-04,11,-4,-0.266666666667
37,2015-03,15,2,0.153846153846
38,2015-02,13,4,0.444444444444
39,2015-01,9,2,0.285714285714
40,2014-12,7,0,0.0
41,2014-11,7,0,0.0
42,2014-10,7,-2,-0.222222222222
43,2014-09,9,1,0.125
44,2014-08,8,0,0.0
45,2014-07,8,-1,-0.111111111111
46,2014-06,9,-1,-0.1
47,2014-05,10,4,0.666666666667
48,2014-04,6,1,0.2
49,2014-03,5,0,0.0
50,2014-02,5,-6,-0.545454545455
51,2014-01,11,6,1.2
52,2013-12,5,-2,-0.285714285714
53,2013-11,7,5,2.5
54,2013-10,2,-1,-0.333333333333
55,2013-09,3,1,0.5
56,2013-08,2,1,1.0
57,2013-07,1,-4,-0.8
58,2013-06,5,1,0.25
59,2013-05,4,3,3.0
60,2013-04,1,-3,-0.75
61,2013-03,4,-3,-0.428571428571
62,2013-02,7,6,6.0
63,2012-12,1,0,0.0
64,2012-10,1,0,0.0
65,2012-09,1,0,0.0
66,2012-08,1,-1,-0.5
67,2012-04,2,0,0.0
68,2012-02,2,1,1.0
69,2012-01,1,0,0.0
70,2011-12,1,-2,-0.666666666667
71,2011-11,3,2,2.0
72,2011-09,1,-1,-0.5
73,2011-08,2,-2,-0.5
74,2011-07,4,2,1.0
75,2011-06,2,0,0.0
76,2011-05,2,1,1.0
77,2011-04,1,-2,-0.666666666667
78,2011-03,3,-2,-0.4
79,2011-02,5,4,4.0
80,2011-01,1,0,0.0
81,2010-12,1,0,0.0
82,2010-11,1,0,0.0
83,2010-10,1,0,0.0
84,2010-09,1,0,0.0
85,2010-07,1,-1,-0.5
86,2010-06,2,1,1.0
87,2010-05,1,0,0.0
88,2010-04,1,0,0.0
89,2010-03,1,0,0.0
90,2010-02,1,-2,-0.666666666667
91,2009-05,3,0,0.0
