,date,nums,increment,ratio
0,2018-04,117,30,0.344827586207
1,2018-03,87,-4,-0.043956043956
2,2018-02,91,30,0.491803278689
3,2018-01,61,-23,-0.27380952381
4,2017-12,84,80,20.0
5,2017-11,4,-13,-0.764705882353
6,2017-10,17,-1,-0.0555555555556
7,2017-09,18,10,1.25
8,2017-07,8,5,1.66666666667
9,2017-05,3,-11,-0.785714285714
10,2017-04,14,11,3.66666666667
11,2017-03,3,-24,-0.888888888889
12,2017-02,27,-3,-0.1
13,2017-01,30,-46,-0.605263157895
14,2016-12,76,74,37.0
15,2016-11,2,-14,-0.875
16,2016-10,16,-21,-0.567567567568
17,2016-09,37,33,8.25
18,2016-08,4,-43,-0.914893617021
19,2016-07,47,44,14.6666666667
20,2016-06,3,-35,-0.921052631579
21,2016-05,38,2,0.0555555555556
22,2016-04,36,-6,-0.142857142857
23,2016-03,42,28,2.0
24,2016-02,14,9,1.8
25,2016-01,5,-2,-0.285714285714
26,2015-12,7,-2,-0.222222222222
27,2015-11,9,8,8.0
28,2015-10,1,-4,-0.8
29,2015-09,5,0,0.0
30,2015-07,5,-7,-0.583333333333
31,2015-06,12,-8,-0.4
32,2015-05,20,6,0.428571428571
33,2015-04,14,7,1.0
34,2015-03,7,-21,-0.75
35,2015-02,28,21,3.0
36,2015-01,7,4,1.33333333333
37,2014-12,3,-10,-0.769230769231
38,2014-11,13,10,3.33333333333
39,2014-09,3,-2,-0.4
40,2014-08,5,-17,-0.772727272727
41,2014-07,22,8,0.571428571429
42,2014-06,14,1,0.0769230769231
43,2014-05,13,-16,-0.551724137931
44,2014-04,29,2,0.0740740740741
45,2014-03,27,25,12.5
46,2014-02,2,-31,-0.939393939394
47,2014-01,33,4,0.137931034483
48,2013-12,29,27,13.5
49,2013-11,2,-1,-0.333333333333
50,2013-10,3,-5,-0.625
51,2013-09,8,-1,-0.111111111111
52,2013-08,9,6,2.0
53,2013-07,3,-2,-0.4
54,2013-06,5,-10,-0.666666666667
55,2013-05,15,6,0.666666666667
56,2013-04,9,-32,-0.780487804878
