,date,nums,increment,ratio
0,2018,356,148,0.711538461538
1,2017,208,-112,-0.35
2,2016,320,205,1.78260869565
3,2015,115,-49,-0.298780487805
4,2014,164,24,0.171428571429
5,2013,140,-26,-0.156626506024
6,2012,166,10,0.0641025641026
7,2011,156,-333,-0.680981595092
8,2010,489,59,0.137209302326
9,2009,430,-156,-0.266211604096
10,2008,586,-49,-0.0771653543307
11,2007,635,-434,-0.405986903648
12,2006,1069,-217,-0.168740279938
13,2005,1286,337,0.355110642782
14,2004,949,-707,-0.42693236715
15,2003,1656,-1019,-0.380934579439
16,2002,2675,811,0.43508583691
17,2001,1864,1040,1.26213592233
18,2000,824,0,0.0
