,date,nums,increment,ratio
0,2018-04,3,0,0.0
1,2018-03,3,-3,-0.5
2,2018-02,6,1,0.2
3,2018-01,5,3,1.5
4,2017-12,2,-1,-0.333333333333
5,2017-11,3,-1,-0.25
6,2017-10,4,0,0.0
7,2017-09,4,1,0.333333333333
8,2017-08,3,-2,-0.4
9,2017-07,5,-3,-0.375
10,2017-06,8,7,7.0
11,2017-05,1,-5,-0.833333333333
12,2017-04,6,3,1.0
13,2017-03,3,1,0.5
14,2017-02,2,-2,-0.5
15,2017-01,4,1,0.333333333333
16,2016-12,3,0,0.0
17,2016-11,3,-1,-0.25
18,2016-10,4,1,0.333333333333
19,2016-09,3,-1,-0.25
20,2016-08,4,1,0.333333333333
21,2016-07,3,-3,-0.5
22,2016-06,6,5,5.0
23,2016-05,1,0,0.0
24,2016-04,1,-7,-0.875
25,2016-03,8,3,0.6
26,2016-02,5,-1,-0.166666666667
27,2016-01,6,4,2.0
28,2015-12,2,-4,-0.666666666667
29,2015-11,6,3,1.0
30,2015-10,3,0,0.0
31,2015-09,3,0,0.0
32,2015-08,3,0,0.0
33,2015-07,3,-3,-0.5
34,2015-06,6,3,1.0
35,2015-05,3,2,2.0
36,2015-04,1,0,0.0
37,2015-03,1,-3,-0.75
38,2015-02,4,-1,-0.2
39,2015-01,5,0,0.0
40,2014-12,5,3,1.5
41,2014-11,2,-2,-0.5
42,2014-10,4,3,3.0
43,2014-09,1,-4,-0.8
44,2014-08,5,4,4.0
45,2014-07,1,0,0.0
46,2014-06,1,0,0.0
