,date,nums,increment,ratio
0,2018-02,7,6,6.0
1,2018-01,1,-5,-0.833333333333
2,2017-12,6,5,5.0
3,2017-11,1,-6,-0.857142857143
4,2017-10,7,3,0.75
5,2017-09,4,3,3.0
6,2017-08,1,0,0.0
7,2017-07,1,0,0.0
8,2017-06,1,0,0.0
9,2017-04,1,0,0.0
10,2017-02,1,-3,-0.75
11,2017-01,4,3,3.0
12,2016-12,1,-1,-0.5
13,2016-10,2,-2,-0.5
14,2016-09,4,3,3.0
15,2016-08,1,0,0.0
16,2016-06,1,0,0.0
17,2016-04,1,-2,-0.666666666667
18,2016-03,3,1,0.5
19,2016-01,2,-1,-0.333333333333
20,2015-11,3,1,0.5
21,2015-04,2,0,0.0
22,2015-03,2,1,1.0
23,2014-12,1,-1,-0.5
24,2014-11,2,1,1.0
25,2014-10,1,0,0.0
26,2014-09,1,0,0.0
