,date,nums,increment,ratio
0,2018-04,3,-2,-0.4
1,2018-03,5,-2,-0.285714285714
2,2018-02,7,3,0.75
3,2018-01,4,-2,-0.333333333333
4,2017-12,6,1,0.2
5,2017-11,5,-3,-0.375
6,2017-10,8,6,3.0
7,2017-09,2,-2,-0.5
8,2017-08,4,3,3.0
9,2017-07,1,-3,-0.75
10,2017-06,4,3,3.0
11,2017-05,1,-5,-0.833333333333
12,2017-04,6,3,1.0
13,2017-03,3,0,0.0
14,2017-02,3,-1,-0.25
15,2017-01,4,-1,-0.2
16,2016-12,5,0,0.0
17,2016-11,5,4,4.0
18,2016-10,1,-3,-0.75
19,2016-09,4,0,0.0
20,2016-08,4,0,0.0
21,2016-07,4,-6,-0.6
22,2016-06,10,4,0.666666666667
23,2016-05,6,4,2.0
24,2016-04,2,-6,-0.75
25,2016-03,8,6,3.0
26,2016-02,2,-3,-0.6
27,2016-01,5,1,0.25
28,2015-12,4,1,0.333333333333
29,2015-11,3,-1,-0.25
30,2015-10,4,0,0.0
31,2015-09,4,-2,-0.333333333333
32,2015-08,6,3,1.0
33,2015-07,3,0,0.0
34,2015-06,3,0,0.0
35,2015-05,3,-2,-0.4
36,2015-04,5,-1,-0.166666666667
37,2015-03,6,1,0.2
38,2015-02,5,2,0.666666666667
39,2015-01,3,1,0.5
40,2014-12,2,-3,-0.6
41,2014-11,5,3,1.5
42,2014-10,2,-3,-0.6
43,2014-09,5,2,0.666666666667
44,2014-08,3,0,0.0
45,2014-07,3,1,0.5
46,2014-06,2,0,0.0
