,date,nums,increment,ratio
0,2018-03,1,-5,-0.833333333333
1,2018-02,6,-27,-0.818181818182
2,2018-01,33,-32,-0.492307692308
3,2017-12,65,60,12.0
4,2017-11,5,2,0.666666666667
5,2017-10,3,-20,-0.869565217391
6,2017-09,23,-5,-0.178571428571
7,2017-08,28,3,0.12
8,2017-07,25,13,1.08333333333
9,2017-06,12,-45,-0.789473684211
10,2017-05,57,47,4.7
11,2017-04,10,2,0.25
12,2017-03,8,-64,-0.888888888889
13,2017-01,72,62,6.2
14,2016-12,10,4,0.666666666667
15,2016-10,6,5,5.0
16,2016-09,1,-1,-0.5
17,2016-07,2,-28,-0.933333333333
18,2016-06,30,-9,-0.230769230769
19,2016-05,39,6,0.181818181818
20,2016-04,33,-2,-0.0571428571429
21,2016-03,35,-1,-0.0277777777778
22,2016-02,36,-18,-0.333333333333
23,2016-01,54,13,0.317073170732
24,2015-12,41,33,4.125
25,2015-11,8,7,7.0
26,2015-10,1,-6,-0.857142857143
27,2015-09,7,-1,-0.125
28,2015-08,8,-5,-0.384615384615
29,2015-07,13,-4,-0.235294117647
30,2015-06,17,13,3.25
31,2015-05,4,1,0.333333333333
32,2015-01,3,2,2.0
33,2014-11,1,0,0.0
34,2014-10,1,-2,-0.666666666667
35,2014-09,3,1,0.5
36,2014-08,2,-1,-0.333333333333
37,2014-07,3,-1,-0.25
38,2014-06,4,-3,-0.428571428571
39,2014-05,7,-6,-0.461538461538
40,2014-03,13,12,12.0
41,2014-02,1,-2,-0.666666666667
42,2014-01,3,1,0.5
43,2013-12,2,-2,-0.5
44,2013-10,4,2,1.0
45,2013-09,2,-2,-0.5
46,2013-08,4,-1,-0.2
47,2013-07,5,2,0.666666666667
48,2013-06,3,-8,-0.727272727273
49,2013-05,11,5,0.833333333333
50,2013-04,6,1,0.2
51,2013-03,5,2,0.666666666667
52,2013-02,3,-2,-0.4
53,2013-01,5,-6,-0.545454545455
54,2012-12,11,4,0.571428571429
55,2012-11,7,-4,-0.363636363636
56,2012-09,11,-10,-0.47619047619
57,2012-08,21,-21,-0.5
58,2012-07,42,-4,-0.0869565217391
59,2012-06,46,-32,-0.410256410256
60,2012-05,78,38,0.95
61,2012-04,40,10,0.333333333333
62,2012-03,30,9,0.428571428571
63,2012-02,21,-3,-0.125
64,2012-01,24,-2,-0.0769230769231
65,2011-12,26,4,0.181818181818
66,2011-11,22,-18,-0.45
67,2011-10,40,17,0.739130434783
68,2011-09,23,-9,-0.28125
69,2011-08,32,13,0.684210526316
70,2011-07,19,-5,-0.208333333333
