,date,nums,increment,ratio
0,2018-04,1,0,0.0
1,2018-03,1,0,0.0
2,2017-12,1,0,0.0
3,2017-11,1,0,0.0
4,2017-08,1,0,0.0
5,2017-07,1,-1,-0.5
6,2017-03,2,1,1.0
7,2016-12,1,0,0.0
8,2016-11,1,0,0.0
9,2016-09,1,-3,-0.75
10,2016-08,4,2,1.0
11,2016-07,2,0,0.0
12,2016-06,2,0,0.0
13,2016-05,2,1,1.0
14,2016-04,1,0,0.0
15,2016-01,1,-1,-0.5
16,2015-11,2,1,1.0
17,2015-10,1,0,0.0
18,2015-09,1,0,0.0
19,2015-08,1,-1,-0.5
20,2015-07,2,1,1.0
21,2015-06,1,0,0.0
22,2015-05,1,0,0.0
23,2015-04,1,0,0.0
24,2015-02,1,0,0.0
25,2014-10,1,0,0.0
26,2014-07,1,0,0.0
27,2014-05,1,0,0.0
28,2014-03,1,-1,-0.5
29,2014-02,2,1,1.0
30,2013-12,1,0,0.0
31,2013-08,1,0,0.0
32,2013-01,1,0,0.0
