,date,nums,increment,ratio
0,2017-11,1,-1,-0.5
1,2017-09,2,0,0.0
2,2017-08,2,1,1.0
3,2017-07,1,-4,-0.8
4,2017-02,5,3,1.5
5,2017-01,2,1,1.0
6,2016-10,1,0,0.0
7,2016-09,1,-7,-0.875
8,2016-08,8,-1,-0.111111111111
9,2016-05,9,8,8.0
10,2016-02,1,-7,-0.875
11,2015-11,8,7,7.0
12,2015-10,1,-4,-0.8
13,2015-08,5,-17,-0.772727272727
14,2015-07,22,-14,-0.388888888889
15,2015-05,36,33,11.0
16,2015-04,3,-10,-0.769230769231
17,2015-03,13,11,5.5
18,2015-02,2,0,0.0
19,2014-11,2,-1,-0.333333333333
20,2014-09,3,2,2.0
21,2014-08,1,0,0.0
22,2014-07,1,0,0.0
23,2014-05,1,0,0.0
24,2013-08,1,0,0.0
