,date,nums,increment,ratio
0,2018-04,57,0,0.0
1,2018-03,57,6,0.117647058824
2,2018-02,51,-18,-0.260869565217
3,2018-01,69,0,0.0
4,2017-12,69,17,0.326923076923
5,2017-11,52,27,1.08
6,2017-10,25,-6,-0.193548387097
7,2017-09,31,-114,-0.786206896552
8,2017-08,145,64,0.79012345679
9,2017-07,81,24,0.421052631579
10,2017-06,57,-50,-0.467289719626
11,2017-05,107,21,0.244186046512
12,2017-04,86,30,0.535714285714
13,2017-03,56,-78,-0.582089552239
14,2017-02,134,106,3.78571428571
15,2017-01,28,-118,-0.808219178082
16,2016-12,146,34,0.303571428571
17,2016-11,112,39,0.534246575342
18,2016-10,73,14,0.237288135593
19,2016-09,59,-7,-0.106060606061
20,2016-08,66,38,1.35714285714
21,2016-07,28,-9,-0.243243243243
22,2016-06,37,-161,-0.813131313131
23,2016-05,198,63,0.466666666667
24,2016-04,135,95,2.375
25,2016-03,40,-13,-0.245283018868
26,2016-02,53,-114,-0.682634730539
27,2016-01,167,-61,-0.267543859649
28,2015-12,228,-12,-0.05
29,2015-11,240,61,0.340782122905
30,2015-10,179,1,0.00561797752809
31,2015-09,178,-102,-0.364285714286
32,2015-08,280,98,0.538461538462
33,2015-07,182,-99,-0.35231316726
34,2015-06,281,4,0.014440433213
35,2015-05,277,1,0.0036231884058
36,2015-04,276,-294,-0.515789473684
37,2015-03,570,327,1.34567901235
38,2015-02,243,-26,-0.0966542750929
39,2015-01,269,-63,-0.189759036145
40,2014-12,332,-111,-0.250564334086
41,2014-11,443,-21,-0.0452586206897
42,2014-10,464,90,0.24064171123
43,2014-09,374,24,0.0685714285714
44,2014-08,350,60,0.206896551724
45,2014-07,290,106,0.576086956522
46,2014-06,184,-34,-0.155963302752
47,2014-05,218,-11,-0.0480349344978
48,2014-04,229,-115,-0.334302325581
49,2014-03,344,21,0.0650154798762
50,2014-02,323,-120,-0.270880361174
51,2014-01,443,61,0.159685863874
52,2013-12,382,23,0.0640668523677
53,2013-11,359,-46,-0.113580246914
54,2013-10,405,85,0.265625
55,2013-09,320,-375,-0.539568345324
56,2013-08,695,-84,-0.10783055199
57,2013-07,779,177,0.294019933555
58,2013-06,602,-288,-0.323595505618
59,2013-05,890,208,0.304985337243
60,2013-04,682,260,0.616113744076
61,2013-03,422,-153,-0.266086956522
62,2013-02,575,-99,-0.146884272997
63,2013-01,674,236,0.538812785388
64,2012-12,438,74,0.203296703297
65,2012-11,364,-98,-0.212121212121
66,2012-10,462,-81,-0.149171270718
67,2012-09,543,-95,-0.148902821317
68,2012-08,638,161,0.337526205451
69,2012-07,477,225,0.892857142857
70,2012-06,252,-42,-0.142857142857
71,2012-05,294,7,0.0243902439024
72,2012-04,287,-50,-0.148367952522
73,2012-03,337,-302,-0.472613458529
74,2012-02,639,116,0.221797323136
75,2012-01,523,-176,-0.251788268956
76,2011-12,699,92,0.151565074135
77,2011-11,607,374,1.60515021459
78,2011-10,233,-75,-0.243506493506
79,2011-09,308,-449,-0.593130779392
80,2011-08,757,117,0.1828125
81,2011-07,640,16,0.025641025641
82,2011-06,624,257,0.700272479564
83,2011-05,367,25,0.0730994152047
84,2011-04,342,-118,-0.25652173913
85,2011-03,460,-136,-0.228187919463
86,2011-02,596,-200,-0.251256281407
87,2011-01,796,-75,-0.0861079219288
88,2010-12,871,29,0.0344418052257
89,2010-11,842,109,0.148703956344
90,2010-10,733,55,0.0811209439528
91,2010-09,678,290,0.747422680412
92,2010-08,388,0,0.0
