,date,nums,increment,ratio
0,2018-04,12,-2,-0.142857142857
1,2018-03,14,11,3.66666666667
2,2018-02,3,-5,-0.625
3,2018-01,8,4,1.0
4,2017-12,4,-4,-0.5
5,2017-11,8,2,0.333333333333
6,2017-10,6,5,5.0
7,2017-09,1,-3,-0.75
8,2017-08,4,-7,-0.636363636364
9,2017-07,11,8,2.66666666667
10,2017-06,3,-5,-0.625
11,2017-05,8,0,0.0
12,2017-04,8,5,1.66666666667
13,2017-03,3,-6,-0.666666666667
14,2017-02,9,0,0.0
15,2017-01,9,2,0.285714285714
16,2016-12,7,-6,-0.461538461538
17,2016-11,13,7,1.16666666667
18,2016-10,6,-4,-0.4
19,2016-09,10,-1,-0.0909090909091
20,2016-08,11,2,0.222222222222
21,2016-07,9,5,1.25
22,2016-06,4,-13,-0.764705882353
23,2016-05,17,6,0.545454545455
24,2016-04,11,-9,-0.45
25,2016-03,20,2,0.111111111111
26,2016-02,18,7,0.636363636364
27,2016-01,11,9,4.5
28,2015-12,2,-15,-0.882352941176
29,2015-11,17,0,0.0
30,2015-10,17,0,0.0
31,2015-09,17,-11,-0.392857142857
32,2015-08,28,9,0.473684210526
33,2015-07,19,3,0.1875
34,2015-06,16,-4,-0.2
35,2015-05,20,-1,-0.047619047619
36,2015-04,21,5,0.3125
37,2015-03,16,9,1.28571428571
38,2015-02,7,-5,-0.416666666667
39,2015-01,12,-2,-0.142857142857
40,2014-12,14,4,0.4
41,2014-11,10,-1,-0.0909090909091
42,2014-10,11,0,0.0
43,2014-09,11,1,0.1
44,2014-08,10,6,1.5
45,2014-07,4,-1,-0.2
46,2014-06,5,-2,-0.285714285714
47,2014-05,7,-3,-0.3
48,2014-04,10,-3,-0.230769230769
49,2014-03,13,10,3.33333333333
50,2014-02,3,-4,-0.571428571429
51,2014-01,7,1,0.166666666667
52,2013-12,6,-8,-0.571428571429
53,2013-11,14,6,0.75
54,2013-10,8,-3,-0.272727272727
55,2013-09,11,5,0.833333333333
56,2013-08,6,2,0.5
57,2013-07,4,0,0.0
58,2013-06,4,3,3.0
59,2013-05,1,0,0.0
