,date,nums,increment,ratio
0,2018-04,6,-5,-0.454545454545
1,2018-03,11,0,0.0
2,2018-02,11,-2,-0.153846153846
3,2018-01,13,3,0.3
4,2017-12,10,0,0.0
5,2017-11,10,0,0.0
6,2017-10,10,0,0.0
7,2017-09,10,4,0.666666666667
8,2017-08,6,-1,-0.142857142857
9,2017-07,7,0,0.0
10,2017-06,7,-3,-0.3
11,2017-05,10,3,0.428571428571
12,2017-04,7,-1,-0.125
13,2017-03,8,1,0.142857142857
14,2017-02,7,0,0.0
15,2017-01,7,-3,-0.3
16,2016-12,10,1,0.111111111111
17,2016-11,9,5,1.25
18,2016-10,4,-4,-0.5
19,2016-09,8,-3,-0.272727272727
20,2016-08,11,3,0.375
21,2016-07,8,1,0.142857142857
22,2016-06,7,-8,-0.533333333333
23,2016-05,15,1,0.0714285714286
24,2016-04,14,8,1.33333333333
25,2016-03,6,-3,-0.333333333333
26,2016-02,9,-1,-0.1
27,2016-01,10,2,0.25
28,2015-12,8,-1,-0.111111111111
29,2015-11,9,-6,-0.4
30,2015-10,15,2,0.153846153846
31,2015-09,13,0,0.0
32,2015-08,13,3,0.3
33,2015-07,10,1,0.111111111111
34,2015-06,9,-1,-0.1
35,2015-05,10,-3,-0.230769230769
36,2015-04,13,-4,-0.235294117647
37,2015-03,17,6,0.545454545455
38,2015-02,11,0,0.0
39,2015-01,11,-2,-0.153846153846
40,2014-12,13,1,0.0833333333333
41,2014-11,12,1,0.0909090909091
42,2014-10,11,2,0.222222222222
43,2014-09,9,2,0.285714285714
44,2014-08,7,2,0.4
45,2014-07,5,-2,-0.285714285714
46,2014-06,7,-4,-0.363636363636
47,2014-05,11,1,0.1
48,2014-04,10,3,0.428571428571
49,2014-03,7,-3,-0.3
50,2014-02,10,-5,-0.333333333333
51,2014-01,15,8,1.14285714286
52,2013-12,7,-3,-0.3
53,2013-11,10,3,0.428571428571
54,2013-10,7,3,0.75
55,2013-09,4,0,0.0
56,2013-08,4,-3,-0.428571428571
57,2013-07,7,1,0.166666666667
58,2013-06,6,2,0.5
59,2013-05,4,0,0.0
