,date,nums,increment,ratio
0,2018-04,1,-5,-0.833333333333
1,2017-12,6,5,5.0
2,2017-11,1,-6,-0.857142857143
3,2017-05,7,3,0.75
4,2017-04,4,0,0.0
5,2016-11,4,3,3.0
6,2016-09,1,-1,-0.5
7,2016-08,2,-1,-0.333333333333
8,2016-05,3,-1,-0.25
9,2015-10,4,3,3.0
10,2015-09,1,-2,-0.666666666667
11,2015-08,3,2,2.0
12,2015-07,1,0,0.0
13,2015-05,1,-1,-0.5
14,2015-04,2,-1,-0.333333333333
15,2015-02,3,-1,-0.25
16,2015-01,4,3,3.0
17,2014-10,1,-1,-0.5
18,2014-07,2,1,1.0
19,2013-11,1,0,0.0
20,2013-10,1,0,0.0
21,2013-08,1,-1,-0.5
22,2013-07,2,1,1.0
23,2013-06,1,-4,-0.8
24,2013-05,5,3,1.5
25,2013-01,2,0,0.0
