,date,nums,increment,ratio
0,2018-04,4,-1,-0.2
1,2018-03,5,-3,-0.375
2,2018-02,8,-7,-0.466666666667
3,2018-01,15,9,1.5
4,2017-12,6,-39,-0.866666666667
5,2017-11,45,25,1.25
6,2017-10,20,5,0.333333333333
7,2017-09,15,5,0.5
8,2017-08,10,-9,-0.473684210526
9,2017-07,19,-20,-0.512820512821
10,2017-06,39,26,2.0
11,2017-05,13,3,0.3
12,2017-04,10,-28,-0.736842105263
13,2017-03,38,33,6.6
14,2017-02,5,-5,-0.5
15,2017-01,10,8,4.0
16,2016-12,2,-11,-0.846153846154
17,2016-11,13,-23,-0.638888888889
18,2016-10,36,16,0.8
19,2016-09,20,5,0.333333333333
20,2016-08,15,7,0.875
21,2016-07,8,-13,-0.619047619048
22,2016-06,21,12,1.33333333333
23,2016-05,9,-5,-0.357142857143
24,2016-04,14,-6,-0.3
25,2016-03,20,9,0.818181818182
26,2016-02,11,-7,-0.388888888889
27,2016-01,18,14,3.5
28,2015-12,4,-4,-0.5
29,2015-11,8,-18,-0.692307692308
30,2015-10,26,24,12.0
31,2015-09,2,-2,-0.5
32,2015-08,4,-22,-0.846153846154
33,2015-07,26,18,2.25
34,2015-06,8,-4,-0.333333333333
35,2015-05,12,-18,-0.6
36,2015-04,30,-6,-0.166666666667
37,2015-03,36,-24,-0.4
38,2015-02,60,-1,-0.016393442623
39,2015-01,61,22,0.564102564103
40,2014-12,39,28,2.54545454545
41,2014-11,11,-9,-0.45
42,2014-10,20,-49,-0.710144927536
43,2014-09,69,18,0.352941176471
44,2014-08,51,-26,-0.337662337662
45,2014-07,77,42,1.2
46,2014-06,35,1,0.0294117647059
47,2014-05,34,4,0.133333333333
48,2014-04,30,21,2.33333333333
49,2014-03,9,-8,-0.470588235294
50,2014-02,17,-7,-0.291666666667
51,2014-01,24,6,0.333333333333
52,2013-12,18,-17,-0.485714285714
53,2013-11,35,20,1.33333333333
54,2013-10,15,-17,-0.53125
55,2013-09,32,15,0.882352941176
56,2013-08,17,-24,-0.585365853659
57,2013-07,41,-32,-0.438356164384
58,2013-06,73,21,0.403846153846
59,2013-05,52,13,0.333333333333
60,2013-04,39,-7,-0.152173913043
61,2013-03,46,5,0.121951219512
62,2013-02,41,-24,-0.369230769231
63,2013-01,65,54,4.90909090909
64,2012-12,11,-53,-0.828125
65,2012-11,64,-21,-0.247058823529
66,2012-10,85,-22,-0.205607476636
67,2012-09,107,52,0.945454545455
68,2012-08,55,10,0.222222222222
69,2012-07,45,-103,-0.695945945946
70,2012-06,148,20,0.15625
71,2012-05,128,60,0.882352941176
72,2012-04,68,26,0.619047619048
73,2012-03,42,-33,-0.44
74,2012-02,75,23,0.442307692308
75,2012-01,52,40,3.33333333333
76,2011-12,12,-43,-0.781818181818
77,2011-11,55,6,0.122448979592
78,2011-10,49,-14,-0.222222222222
79,2011-09,63,19,0.431818181818
80,2011-08,44,-33,-0.428571428571
81,2011-07,77,4,0.0547945205479
82,2011-06,73,49,2.04166666667
83,2011-05,24,9,0.6
84,2011-04,15,-8,-0.347826086957
85,2011-03,23,2,0.0952380952381
86,2011-02,21,-9,-0.3
87,2011-01,30,16,1.14285714286
88,2010-12,14,-33,-0.702127659574
89,2010-11,47,-23,-0.328571428571
90,2010-10,70,-25,-0.263157894737
91,2010-09,95,36,0.610169491525
92,2010-08,59,37,1.68181818182
93,2010-07,22,4,0.222222222222
94,2010-06,18,10,1.25
95,2010-05,8,4,1.0
96,2010-04,4,-16,-0.8
97,2010-03,20,-18,-0.473684210526
98,2010-02,38,27,2.45454545455
99,2010-01,11,-9,-0.45
100,2009-12,20,-75,-0.789473684211
101,2009-11,95,87,10.875
102,2009-10,8,4,1.0
103,2009-09,4,-4,-0.5
104,2009-08,8,-19,-0.703703703704
105,2009-07,27,25,12.5
106,2009-05,2,-7,-0.777777777778
107,2009-04,9,-5,-0.357142857143
108,2009-03,14,-4,-0.222222222222
109,2009-02,18,5,0.384615384615
110,2009-01,13,8,1.6
111,2008-12,5,-6,-0.545454545455
112,2008-11,11,3,0.375
113,2008-10,8,0,0.0
