,date,nums,increment,ratio
0,2018-04,10,-6,-0.375
1,2018-03,16,-2,-0.111111111111
2,2018-02,18,4,0.285714285714
3,2018-01,14,-4,-0.222222222222
4,2017-12,18,4,0.285714285714
5,2017-11,14,4,0.4
6,2017-10,10,-4,-0.285714285714
7,2017-09,14,6,0.75
8,2017-08,8,-13,-0.619047619048
9,2017-07,21,7,0.5
10,2017-06,14,0,0.0
11,2017-05,14,-2,-0.125
12,2017-04,16,9,1.28571428571
13,2017-03,7,-7,-0.5
14,2017-02,14,0,0.0
15,2017-01,14,6,0.75
16,2016-12,8,-10,-0.555555555556
17,2016-11,18,-4,-0.181818181818
18,2016-10,22,2,0.1
19,2016-09,20,1,0.0526315789474
20,2016-08,19,2,0.117647058824
21,2016-07,17,1,0.0625
22,2016-06,16,0,0.0
23,2016-05,16,-3,-0.157894736842
24,2016-04,19,-9,-0.321428571429
25,2016-03,28,4,0.166666666667
26,2016-02,24,-3,-0.111111111111
27,2016-01,27,5,0.227272727273
28,2015-12,22,-1,-0.0434782608696
29,2015-11,23,6,0.352941176471
30,2015-10,17,0,0.0
31,2015-09,17,-8,-0.32
32,2015-08,25,-1,-0.0384615384615
33,2015-07,26,8,0.444444444444
34,2015-06,18,-4,-0.181818181818
35,2015-05,22,8,0.571428571429
36,2015-04,14,-8,-0.363636363636
37,2015-03,22,8,0.571428571429
38,2015-02,14,-7,-0.333333333333
39,2015-01,21,10,0.909090909091
40,2014-12,11,-13,-0.541666666667
41,2014-11,24,4,0.2
42,2014-10,20,4,0.25
43,2014-09,16,-2,-0.111111111111
44,2014-08,18,0,0.0
45,2014-07,18,4,0.285714285714
46,2014-06,14,-3,-0.176470588235
47,2014-05,17,2,0.133333333333
48,2014-04,15,2,0.153846153846
49,2014-03,13,-10,-0.434782608696
50,2014-02,23,4,0.210526315789
51,2014-01,19,5,0.357142857143
52,2013-12,14,-7,-0.333333333333
53,2013-11,21,3,0.166666666667
54,2013-10,18,-9,-0.333333333333
55,2013-09,27,5,0.227272727273
56,2013-08,22,-11,-0.333333333333
57,2013-07,33,3,0.1
58,2013-06,30,9,0.428571428571
59,2013-05,21,4,0.235294117647
60,2013-04,17,-12,-0.413793103448
61,2013-03,29,-7,-0.194444444444
62,2013-02,36,21,1.4
63,2013-01,15,8,1.14285714286
64,2012-12,7,0,0.0
