,date,nums,increment,ratio
0,2018-04,4,2,1.0
1,2018-03,2,0,0.0
2,2018-02,2,-5,-0.714285714286
3,2018-01,7,2,0.4
4,2017-12,5,0,0.0
5,2017-11,5,-1,-0.166666666667
6,2017-10,6,2,0.5
7,2017-09,4,0,0.0
8,2017-08,4,-4,-0.5
9,2017-07,8,-2,-0.2
10,2017-06,10,5,1.0
11,2017-05,5,-1,-0.166666666667
12,2017-04,6,-1,-0.142857142857
13,2017-03,7,-2,-0.222222222222
14,2017-02,9,8,8.0
15,2017-01,1,-4,-0.8
16,2016-12,5,0,0.0
17,2016-11,5,-1,-0.166666666667
18,2016-10,6,-6,-0.5
19,2016-09,12,7,1.4
20,2016-08,5,-3,-0.375
21,2016-07,8,3,0.6
22,2016-06,5,-1,-0.166666666667
23,2016-05,6,-11,-0.647058823529
24,2016-04,17,-2,-0.105263157895
25,2016-03,19,9,0.9
26,2016-02,10,1,0.111111111111
27,2016-01,9,2,0.285714285714
28,2015-12,7,4,1.33333333333
29,2015-11,3,-11,-0.785714285714
30,2015-10,14,2,0.166666666667
31,2015-09,12,5,0.714285714286
32,2015-08,7,-9,-0.5625
33,2015-07,16,5,0.454545454545
34,2015-06,11,9,4.5
35,2015-05,2,-2,-0.5
36,2015-04,4,-5,-0.555555555556
37,2015-03,9,-1,-0.1
38,2015-02,10,0,0.0
39,2015-01,10,3,0.428571428571
40,2014-12,7,4,1.33333333333
41,2014-11,3,-5,-0.625
42,2014-10,8,1,0.142857142857
43,2014-09,7,0,0.0
44,2014-08,7,1,0.166666666667
45,2014-07,6,3,1.0
46,2014-06,3,1,0.5
47,2014-05,2,-1,-0.333333333333
48,2014-04,3,1,0.5
49,2014-03,2,1,1.0
50,2014-02,1,-2,-0.666666666667
51,2014-01,3,-1,-0.25
52,2013-12,4,-1,-0.2
53,2013-11,5,2,0.666666666667
54,2013-10,3,1,0.5
55,2013-08,2,-5,-0.714285714286
56,2013-07,7,-2,-0.222222222222
57,2013-06,9,-2,-0.181818181818
58,2013-05,11,3,0.375
59,2013-04,8,-8,-0.5
60,2013-03,16,-4,-0.2
61,2013-02,20,16,4.0
62,2013-01,4,3,3.0
63,2012-12,1,0,0.0
