,date,nums,increment,ratio
0,2018-04,33,-4,-0.108108108108
1,2018-03,37,10,0.37037037037
2,2018-02,27,-3,-0.1
3,2018-01,30,-2,-0.0625
4,2017-12,32,-11,-0.255813953488
5,2017-11,43,5,0.131578947368
6,2017-10,38,12,0.461538461538
7,2017-09,26,-12,-0.315789473684
8,2017-08,38,5,0.151515151515
9,2017-07,33,-17,-0.34
10,2017-06,50,18,0.5625
11,2017-05,32,-9,-0.219512195122
12,2017-04,41,-2,-0.046511627907
13,2017-03,43,7,0.194444444444
14,2017-02,36,2,0.0588235294118
15,2017-01,34,-1,-0.0285714285714
16,2016-12,35,-2,-0.0540540540541
17,2016-11,37,-5,-0.119047619048
18,2016-10,42,10,0.3125
19,2016-09,32,-1,-0.030303030303
20,2016-08,33,-8,-0.19512195122
21,2016-07,41,6,0.171428571429
22,2016-06,35,2,0.0606060606061
23,2016-05,33,-11,-0.25
24,2016-04,44,7,0.189189189189
25,2016-03,37,1,0.0277777777778
26,2016-02,36,-6,-0.142857142857
27,2016-01,42,11,0.354838709677
28,2015-12,31,-18,-0.367346938776
29,2015-11,49,-1,-0.02
30,2015-10,50,8,0.190476190476
31,2015-09,42,2,0.05
32,2015-08,40,-6,-0.130434782609
33,2015-07,46,10,0.277777777778
34,2015-06,36,5,0.161290322581
35,2015-05,31,-12,-0.279069767442
36,2015-04,43,-4,-0.0851063829787
37,2015-03,47,16,0.516129032258
38,2015-02,31,-18,-0.367346938776
39,2015-01,49,6,0.139534883721
40,2014-12,43,4,0.102564102564
41,2014-11,39,15,0.625
42,2014-10,24,-6,-0.2
43,2014-09,30,-6,-0.166666666667
44,2014-08,36,12,0.5
45,2014-07,24,-3,-0.111111111111
46,2014-06,27,-3,-0.1
47,2014-05,30,-2,-0.0625
48,2014-04,32,8,0.333333333333
49,2014-03,24,-14,-0.368421052632
50,2014-02,38,1,0.027027027027
51,2014-01,37,-4,-0.0975609756098
52,2013-12,41,13,0.464285714286
53,2013-11,28,7,0.333333333333
54,2013-10,21,-2,-0.0869565217391
55,2013-09,23,0,0.0
56,2013-08,23,-10,-0.30303030303
57,2013-07,33,3,0.1
58,2013-06,30,5,0.2
59,2013-05,25,-5,-0.166666666667
60,2013-04,30,7,0.304347826087
61,2013-03,23,4,0.210526315789
62,2013-02,19,17,8.5
63,2013-01,2,0,0.0
64,2012-12,2,-41,-0.953488372093
65,2012-11,43,0,0.0
