,date,nums,increment,ratio
0,2018-04,1,-2,-0.666666666667
1,2018-02,3,-1,-0.25
2,2018-01,4,2,1.0
3,2017-11,2,-7,-0.777777777778
4,2017-10,9,6,2.0
5,2017-09,3,2,2.0
6,2017-05,1,-6,-0.857142857143
7,2017-04,7,6,6.0
8,2016-10,1,-6,-0.857142857143
9,2016-09,7,-4,-0.363636363636
10,2016-05,11,10,10.0
11,2016-04,1,-6,-0.857142857143
12,2015-11,7,3,0.75
13,2015-10,4,2,1.0
14,2015-07,2,0,0.0
15,2015-06,2,1,1.0
16,2015-05,1,0,0.0
17,2015-04,1,-6,-0.857142857143
18,2015-03,7,5,2.5
19,2014-11,2,1,1.0
20,2014-10,1,0,0.0
21,2014-05,1,-1,-0.5
22,2014-03,2,0,0.0
23,2014-01,2,-3,-0.6
24,2013-09,5,4,4.0
25,2013-07,1,-1,-0.5
26,2013-06,2,0,0.0
