,date,nums,increment,ratio
0,2018-02,7,4,1.33333333333
1,2018-01,3,-8,-0.727272727273
2,2017-11,11,-2,-0.153846153846
3,2017-10,13,-6,-0.315789473684
4,2017-09,19,10,1.11111111111
5,2017-08,9,6,2.0
6,2017-07,3,-4,-0.571428571429
7,2017-06,7,1,0.166666666667
8,2017-05,6,-11,-0.647058823529
9,2017-04,17,8,0.888888888889
10,2017-03,9,7,3.5
11,2017-02,2,-6,-0.75
12,2017-01,8,2,0.333333333333
13,2016-12,6,-5,-0.454545454545
14,2016-11,11,-15,-0.576923076923
15,2016-10,26,10,0.625
16,2016-09,16,-7,-0.304347826087
17,2016-08,23,16,2.28571428571
18,2016-07,7,-14,-0.666666666667
19,2016-06,21,9,0.75
20,2016-05,12,-2,-0.142857142857
21,2016-04,14,-1,-0.0666666666667
22,2016-03,15,-7,-0.318181818182
23,2016-02,22,17,3.4
24,2016-01,5,-17,-0.772727272727
25,2015-12,22,10,0.833333333333
26,2015-11,12,-15,-0.555555555556
27,2015-10,27,0,0.0
28,2015-09,27,22,4.4
29,2015-08,5,1,0.25
30,2015-07,4,-6,-0.6
31,2015-06,10,-18,-0.642857142857
32,2015-05,28,11,0.647058823529
33,2015-04,17,-38,-0.690909090909
34,2015-03,55,40,2.66666666667
35,2015-02,15,-8,-0.347826086957
36,2015-01,23,17,2.83333333333
37,2014-12,6,-10,-0.625
38,2014-11,16,-44,-0.733333333333
39,2014-10,60,48,4.0
40,2014-09,12,-2,-0.142857142857
41,2014-08,14,-6,-0.3
42,2014-07,20,16,4.0
43,2014-06,4,-7,-0.636363636364
44,2014-05,11,5,0.833333333333
45,2014-04,6,-6,-0.5
46,2014-03,12,4,0.5
47,2014-02,8,-3,-0.272727272727
48,2014-01,11,-11,-0.5
49,2013-12,22,16,2.66666666667
50,2013-11,6,-11,-0.647058823529
51,2013-10,17,-6,-0.260869565217
52,2013-09,23,12,1.09090909091
53,2013-08,11,-31,-0.738095238095
54,2013-07,42,-21,-0.333333333333
55,2013-06,63,26,0.702702702703
56,2013-05,37,-25,-0.403225806452
57,2013-04,62,-9,-0.12676056338
58,2013-03,71,-9,-0.1125
59,2013-02,80,23,0.40350877193
60,2013-01,57,32,1.28
61,2012-12,25,-39,-0.609375
62,2012-11,64,-11,-0.146666666667
63,2012-10,75,7,0.102941176471
64,2012-09,68,-7,-0.0933333333333
65,2012-08,75,-29,-0.278846153846
66,2012-07,104,44,0.733333333333
67,2012-06,60,3,0.0526315789474
68,2012-05,57,-18,-0.24
69,2012-04,75,5,0.0714285714286
70,2012-03,70,48,2.18181818182
71,2012-02,22,-31,-0.584905660377
72,2012-01,53,35,1.94444444444
73,2011-12,18,-13,-0.41935483871
74,2011-11,31,17,1.21428571429
75,2011-10,14,-32,-0.695652173913
76,2011-09,46,-30,-0.394736842105
77,2011-08,76,-21,-0.216494845361
78,2011-07,97,28,0.405797101449
79,2011-06,69,-10,-0.126582278481
80,2011-05,79,61,3.38888888889
81,2011-04,18,3,0.2
82,2011-03,15,-11,-0.423076923077
83,2011-02,26,11,0.733333333333
84,2011-01,15,-7,-0.318181818182
85,2010-12,22,18,4.5
86,2010-11,4,-13,-0.764705882353
87,2010-10,17,7,0.7
88,2010-09,10,-2,-0.166666666667
89,2010-08,12,7,1.4
90,2010-07,5,0,0.0
91,2010-06,5,3,1.5
92,2010-05,2,-7,-0.777777777778
93,2010-04,9,3,0.5
94,2010-03,6,1,0.2
95,2010-02,5,-19,-0.791666666667
96,2010-01,24,-113,-0.824817518248
97,2009-12,137,-215,-0.610795454545
98,2009-11,352,307,6.82222222222
99,2009-10,45,21,0.875
100,2009-09,24,-19,-0.441860465116
101,2009-08,43,-14,-0.245614035088
102,2009-07,57,41,2.5625
103,2009-06,16,-55,-0.774647887324
104,2009-05,71,32,0.820512820513
105,2009-04,39,7,0.21875
106,2009-03,32,-42,-0.567567567568
107,2009-02,74,43,1.38709677419
108,2009-01,31,-10,-0.243902439024
109,2008-12,41,21,1.05
110,2008-11,20,3,0.176470588235
111,2008-10,17,8,0.888888888889
112,2008-09,9,-21,-0.7
113,2008-08,30,0,0.0
