,date,nums,increment,ratio
0,2018-04,3,-1,-0.25
1,2018-03,4,-6,-0.6
2,2018-02,10,2,0.25
3,2018-01,8,-1,-0.111111111111
4,2017-12,9,-8,-0.470588235294
5,2017-11,17,7,0.7
6,2017-10,10,0,0.0
7,2017-09,10,3,0.428571428571
8,2017-08,7,-6,-0.461538461538
9,2017-07,13,6,0.857142857143
10,2017-06,7,-1,-0.125
11,2017-05,8,4,1.0
12,2017-04,4,-2,-0.333333333333
13,2017-03,6,4,2.0
14,2017-02,2,-6,-0.75
15,2017-01,8,2,0.333333333333
16,2016-12,6,-6,-0.5
17,2016-11,12,-1,-0.0769230769231
18,2016-10,13,-8,-0.380952380952
19,2016-09,21,11,1.1
20,2016-08,10,-2,-0.166666666667
21,2016-07,12,-3,-0.2
22,2016-06,15,7,0.875
23,2016-05,8,-5,-0.384615384615
24,2016-04,13,-1,-0.0714285714286
25,2016-03,14,-3,-0.176470588235
26,2016-02,17,-2,-0.105263157895
27,2016-01,19,1,0.0555555555556
28,2015-12,18,4,0.285714285714
29,2015-11,14,0,0.0
30,2015-10,14,-7,-0.333333333333
31,2015-09,21,3,0.166666666667
32,2015-08,18,6,0.5
33,2015-07,12,5,0.714285714286
34,2015-06,7,-5,-0.416666666667
35,2015-05,12,-1,-0.0769230769231
36,2015-04,13,2,0.181818181818
37,2015-03,11,2,0.222222222222
38,2015-02,9,-6,-0.4
39,2015-01,15,10,2.0
40,2014-12,5,-4,-0.444444444444
41,2014-11,9,0,0.0
42,2014-10,9,-1,-0.1
43,2014-09,10,2,0.25
44,2014-08,8,-3,-0.272727272727
45,2014-07,11,10,10.0
46,2014-06,1,-7,-0.875
47,2014-05,8,-4,-0.333333333333
48,2014-04,12,0,0.0
49,2014-03,12,-1,-0.0769230769231
50,2014-02,13,4,0.444444444444
51,2014-01,9,1,0.125
52,2013-12,8,-4,-0.333333333333
53,2013-11,12,2,0.2
54,2013-10,10,-3,-0.230769230769
55,2013-09,13,6,0.857142857143
56,2013-08,7,-5,-0.416666666667
57,2013-07,12,-3,-0.2
58,2013-06,15,0,0.0
59,2013-05,15,4,0.363636363636
60,2013-04,11,-6,-0.352941176471
61,2013-03,17,1,0.0625
62,2013-02,16,10,1.66666666667
63,2013-01,6,-3,-0.333333333333
64,2012-12,9,0,0.0
