,date,nums,increment,ratio
0,2018-04,2,0,0.0
1,2018-03,2,-3,-0.6
2,2018-02,5,2,0.666666666667
3,2018-01,3,2,2.0
4,2017-12,1,-3,-0.75
5,2017-11,4,-2,-0.333333333333
6,2017-10,6,0,0.0
7,2017-09,6,-1,-0.142857142857
8,2017-08,7,3,0.75
9,2017-07,4,-5,-0.555555555556
10,2017-06,9,4,0.8
11,2017-05,5,-6,-0.545454545455
12,2017-04,11,3,0.375
13,2017-03,8,4,1.0
14,2017-02,4,0,0.0
15,2017-01,4,1,0.333333333333
16,2016-12,3,-7,-0.7
17,2016-11,10,0,0.0
18,2016-10,10,-1,-0.0909090909091
19,2016-09,11,1,0.1
20,2016-08,10,3,0.428571428571
21,2016-07,7,-1,-0.125
22,2016-06,8,3,0.6
23,2016-05,5,-3,-0.375
24,2016-04,8,-4,-0.333333333333
25,2016-03,12,3,0.333333333333
26,2016-02,9,7,3.5
27,2016-01,2,-5,-0.714285714286
28,2015-12,7,1,0.166666666667
29,2015-11,6,0,0.0
30,2015-10,6,-7,-0.538461538462
31,2015-09,13,6,0.857142857143
32,2015-08,7,5,2.5
33,2015-07,2,-2,-0.5
34,2015-06,4,-1,-0.2
35,2015-05,5,0,0.0
36,2015-04,5,3,1.5
37,2015-03,2,-3,-0.6
38,2015-02,5,1,0.25
39,2015-01,4,1,0.333333333333
40,2014-12,3,1,0.5
41,2014-11,2,-5,-0.714285714286
42,2014-10,7,-3,-0.3
43,2014-09,10,7,2.33333333333
44,2014-07,3,2,2.0
45,2014-06,1,0,0.0
46,2014-04,1,-1,-0.5
47,2014-03,2,-1,-0.333333333333
48,2014-02,3,0,0.0
49,2014-01,3,1,0.5
50,2013-12,2,-3,-0.6
51,2013-11,5,0,0.0
52,2013-10,5,3,1.5
53,2013-09,2,1,1.0
54,2013-08,1,-7,-0.875
55,2013-07,8,1,0.142857142857
56,2013-06,7,0,0.0
57,2013-05,7,2,0.4
58,2013-04,5,-18,-0.782608695652
59,2013-03,23,12,1.09090909091
60,2013-02,11,4,0.571428571429
61,2013-01,7,3,0.75
62,2012-12,4,0,0.0
