,date,nums,increment,ratio
0,2018-04,21,3,0.166666666667
1,2018-03,18,5,0.384615384615
2,2018-02,13,-9,-0.409090909091
3,2018-01,22,6,0.375
4,2017-12,16,-1,-0.0588235294118
5,2017-11,17,-9,-0.346153846154
6,2017-10,26,6,0.3
7,2017-09,20,-13,-0.393939393939
8,2017-08,33,13,0.65
9,2017-07,20,-2,-0.0909090909091
10,2017-06,22,4,0.222222222222
11,2017-05,18,-10,-0.357142857143
12,2017-04,28,9,0.473684210526
13,2017-03,19,1,0.0555555555556
14,2017-02,18,1,0.0588235294118
15,2017-01,17,-7,-0.291666666667
16,2016-12,24,1,0.0434782608696
17,2016-11,23,-7,-0.233333333333
18,2016-10,30,-2,-0.0625
19,2016-09,32,18,1.28571428571
20,2016-08,14,-16,-0.533333333333
21,2016-07,30,8,0.363636363636
22,2016-06,22,-7,-0.241379310345
23,2016-05,29,-8,-0.216216216216
24,2016-04,37,1,0.0277777777778
25,2016-03,36,8,0.285714285714
26,2016-02,28,-6,-0.176470588235
27,2016-01,34,5,0.172413793103
28,2015-12,29,-12,-0.292682926829
29,2015-11,41,8,0.242424242424
30,2015-10,33,-9,-0.214285714286
31,2015-09,42,6,0.166666666667
32,2015-08,36,6,0.2
33,2015-07,30,11,0.578947368421
34,2015-06,19,-5,-0.208333333333
35,2015-05,24,-9,-0.272727272727
36,2015-04,33,14,0.736842105263
37,2015-03,19,-5,-0.208333333333
38,2015-02,24,1,0.0434782608696
39,2015-01,23,5,0.277777777778
40,2014-12,18,-9,-0.333333333333
41,2014-11,27,8,0.421052631579
42,2014-10,19,-4,-0.173913043478
43,2014-09,23,3,0.15
44,2014-08,20,3,0.176470588235
45,2014-07,17,7,0.7
46,2014-06,10,-3,-0.230769230769
47,2014-05,13,0,0.0
48,2014-04,13,-3,-0.1875
49,2014-03,16,-3,-0.157894736842
50,2014-02,19,3,0.1875
51,2014-01,16,-6,-0.272727272727
52,2013-12,22,9,0.692307692308
53,2013-11,13,2,0.181818181818
54,2013-10,11,5,0.833333333333
55,2013-09,6,-6,-0.5
56,2013-08,12,-1,-0.0769230769231
57,2013-07,13,-8,-0.380952380952
58,2013-06,21,0,0.0
59,2013-05,21,1,0.05
60,2013-04,20,5,0.333333333333
61,2013-03,15,5,0.5
62,2013-02,10,-17,-0.62962962963
63,2012-11,27,0,0.0
