,date,nums,increment,ratio
0,2018-04,82,19,0.301587301587
1,2018-03,63,-12,-0.16
2,2018-02,75,-7,-0.0853658536585
3,2018-01,82,-2,-0.0238095238095
4,2017-12,84,11,0.150684931507
5,2017-11,73,17,0.303571428571
6,2017-10,56,-26,-0.317073170732
7,2017-09,82,-75,-0.477707006369
8,2017-08,157,92,1.41538461538
9,2017-07,65,-6,-0.0845070422535
10,2017-06,71,-16,-0.183908045977
11,2017-05,87,-27,-0.236842105263
12,2017-04,114,-65,-0.36312849162
13,2017-03,179,77,0.754901960784
14,2017-02,102,15,0.172413793103
15,2017-01,87,2,0.0235294117647
16,2016-12,85,12,0.164383561644
17,2016-11,73,5,0.0735294117647
18,2016-10,68,-38,-0.358490566038
19,2016-09,106,18,0.204545454545
20,2016-08,88,17,0.239436619718
21,2016-07,71,1,0.0142857142857
22,2016-06,70,-31,-0.306930693069
23,2016-05,101,6,0.0631578947368
24,2016-04,95,12,0.144578313253
25,2016-03,83,-52,-0.385185185185
26,2016-02,135,35,0.35
27,2016-01,100,-30,-0.230769230769
28,2015-12,130,-50,-0.277777777778
29,2015-11,180,31,0.208053691275
30,2015-10,149,76,1.04109589041
31,2015-09,73,-35,-0.324074074074
32,2015-08,108,-11,-0.0924369747899
33,2015-07,119,9,0.0818181818182
34,2015-06,110,-33,-0.230769230769
35,2015-05,143,-4,-0.0272108843537
36,2015-04,147,36,0.324324324324
37,2015-03,111,-1,-0.00892857142857
38,2015-02,112,17,0.178947368421
39,2015-01,95,-47,-0.330985915493
40,2014-12,142,19,0.154471544715
41,2014-11,123,-4,-0.0314960629921
42,2014-10,127,-1,-0.0078125
43,2014-09,128,-3,-0.0229007633588
44,2014-08,131,-62,-0.321243523316
45,2014-07,193,41,0.269736842105
46,2014-06,152,36,0.310344827586
47,2014-05,116,-48,-0.292682926829
48,2014-04,164,-56,-0.254545454545
49,2014-03,220,39,0.21546961326
50,2014-02,181,31,0.206666666667
51,2014-01,150,44,0.415094339623
52,2013-12,106,-34,-0.242857142857
53,2013-11,140,11,0.0852713178295
54,2013-10,129,-3,-0.0227272727273
55,2013-09,132,-62,-0.319587628866
56,2013-08,194,-33,-0.145374449339
57,2013-07,227,100,0.787401574803
58,2013-06,127,-36,-0.220858895706
59,2013-05,163,32,0.24427480916
60,2013-04,131,-63,-0.324742268041
61,2013-03,194,103,1.13186813187
62,2013-02,91,-4,-0.0421052631579
63,2013-01,95,-29,-0.233870967742
64,2012-12,124,-85,-0.406698564593
65,2012-11,209,46,0.282208588957
66,2012-10,163,24,0.172661870504
67,2012-09,139,-9,-0.0608108108108
68,2012-08,148,57,0.626373626374
69,2012-07,91,-46,-0.335766423358
70,2012-06,137,-69,-0.334951456311
71,2012-05,206,54,0.355263157895
72,2012-04,152,-42,-0.216494845361
73,2012-03,194,49,0.337931034483
74,2012-02,145,-49,-0.252577319588
75,2012-01,194,32,0.197530864198
76,2011-12,162,49,0.433628318584
77,2011-11,113,-94,-0.454106280193
78,2011-10,207,36,0.210526315789
79,2011-09,171,29,0.204225352113
80,2011-08,142,28,0.245614035088
81,2011-07,114,9,0.0857142857143
82,2011-06,105,-31,-0.227941176471
83,2011-05,136,6,0.0461538461538
84,2011-04,130,-74,-0.362745098039
85,2011-03,204,83,0.685950413223
86,2011-02,121,16,0.152380952381
87,2011-01,105,-4,-0.0366972477064
88,2010-12,109,19,0.211111111111
89,2010-11,90,-15,-0.142857142857
90,2010-10,105,38,0.567164179104
91,2010-09,67,0,0.0
92,2010-08,67,5,0.0806451612903
93,2010-07,62,8,0.148148148148
94,2010-06,54,-17,-0.239436619718
95,2010-05,71,26,0.577777777778
96,2010-04,45,-11,-0.196428571429
97,2010-03,56,-21,-0.272727272727
98,2010-02,77,-7,-0.0833333333333
99,2010-01,84,1,0.0120481927711
100,2009-12,83,4,0.0506329113924
101,2009-11,79,-42,-0.347107438017
102,2009-10,121,31,0.344444444444
103,2009-09,90,-7,-0.0721649484536
104,2009-08,97,-36,-0.270676691729
105,2009-07,133,32,0.316831683168
106,2009-06,101,35,0.530303030303
107,2009-05,66,-23,-0.258426966292
108,2009-04,89,-82,-0.479532163743
109,2009-03,171,49,0.401639344262
110,2009-02,122,11,0.0990990990991
111,2009-01,111,22,0.247191011236
112,2008-12,89,19,0.271428571429
113,2008-11,70,-6,-0.0789473684211
114,2008-10,76,-10,-0.116279069767
115,2008-09,86,-11,-0.113402061856
116,2008-08,97,18,0.227848101266
117,2008-07,79,3,0.0394736842105
118,2008-06,76,-13,-0.14606741573
119,2008-05,89,76,5.84615384615
120,2008-04,13,0,0.0
