,date,nums,increment,ratio
0,2018-04,18,-14,-0.4375
1,2018-03,32,16,1.0
2,2018-02,16,-5,-0.238095238095
3,2018-01,21,1,0.05
4,2017-12,20,-9,-0.310344827586
5,2017-11,29,6,0.260869565217
6,2017-10,23,-5,-0.178571428571
7,2017-09,28,6,0.272727272727
8,2017-08,22,-2,-0.0833333333333
9,2017-07,24,-5,-0.172413793103
10,2017-06,29,5,0.208333333333
11,2017-05,24,-5,-0.172413793103
12,2017-04,29,11,0.611111111111
13,2017-03,18,-5,-0.217391304348
14,2017-02,23,7,0.4375
15,2017-01,16,2,0.142857142857
16,2016-12,14,-4,-0.222222222222
17,2016-11,18,-8,-0.307692307692
18,2016-10,26,13,1.0
19,2016-09,13,-9,-0.409090909091
20,2016-08,22,4,0.222222222222
21,2016-07,18,6,0.5
22,2016-06,12,1,0.0909090909091
23,2016-05,11,-3,-0.214285714286
24,2016-04,14,4,0.4
25,2016-03,10,-1,-0.0909090909091
26,2016-02,11,-1,-0.0833333333333
27,2016-01,12,3,0.333333333333
28,2015-12,9,3,0.5
29,2015-11,6,-2,-0.25
30,2015-10,8,0,0.0
31,2015-09,8,1,0.142857142857
32,2015-08,7,-2,-0.222222222222
33,2015-07,9,0,0.0
34,2015-06,9,-2,-0.181818181818
35,2015-05,11,0,0.0
36,2015-04,11,0,0.0
37,2015-03,11,2,0.222222222222
38,2015-02,9,-1,-0.1
39,2015-01,10,1,0.111111111111
40,2014-12,9,0,0.0
41,2014-11,9,-1,-0.1
42,2014-10,10,5,1.0
43,2014-09,5,-4,-0.444444444444
44,2014-08,9,-3,-0.25
45,2014-07,12,5,0.714285714286
46,2014-06,7,2,0.4
47,2014-05,5,3,1.5
48,2014-04,2,-1,-0.333333333333
49,2014-03,3,2,2.0
50,2014-02,1,0,0.0
