,date,nums,increment,ratio
0,2018-04,15,3,0.25
1,2018-03,12,-2,-0.142857142857
2,2018-02,14,4,0.4
3,2018-01,10,-2,-0.166666666667
4,2017-12,12,-6,-0.333333333333
5,2017-11,18,3,0.2
6,2017-10,15,8,1.14285714286
7,2017-09,7,-2,-0.222222222222
8,2017-08,9,-2,-0.181818181818
9,2017-07,11,-3,-0.214285714286
10,2017-06,14,9,1.8
11,2017-05,5,-12,-0.705882352941
12,2017-04,17,3,0.214285714286
13,2017-03,14,7,1.0
14,2017-02,7,-7,-0.5
15,2017-01,14,4,0.4
16,2016-12,10,-10,-0.5
17,2016-11,20,5,0.333333333333
18,2016-10,15,5,0.5
19,2016-09,10,-5,-0.333333333333
20,2016-08,15,12,4.0
21,2016-07,3,-2,-0.4
22,2016-06,5,-3,-0.375
23,2016-05,8,0,0.0
24,2016-04,8,-2,-0.2
25,2016-03,10,3,0.428571428571
26,2016-02,7,3,0.75
27,2016-01,4,1,0.333333333333
28,2015-12,3,2,2.0
29,2015-11,1,-7,-0.875
30,2015-10,8,0,0.0
31,2015-09,8,6,3.0
32,2015-08,2,-1,-0.333333333333
33,2015-07,3,1,0.5
34,2015-06,2,-7,-0.777777777778
35,2015-05,9,3,0.5
36,2015-04,6,-1,-0.142857142857
37,2015-03,7,3,0.75
38,2015-02,4,2,1.0
39,2015-01,2,-13,-0.866666666667
40,2014-12,15,10,2.0
41,2014-11,5,0,0.0
42,2014-10,5,4,4.0
43,2014-09,1,-4,-0.8
44,2014-08,5,-4,-0.444444444444
45,2014-07,9,6,2.0
46,2014-06,3,0,0.0
47,2014-05,3,2,2.0
48,2014-04,1,0,0.0
49,2014-03,1,0,0.0
