,date,nums,increment,ratio
0,2018-03,1,-2,-0.666666666667
1,2018-02,3,-3,-0.5
2,2018-01,6,2,0.5
3,2017-10,4,-13,-0.764705882353
4,2017-09,17,7,0.7
5,2017-08,10,4,0.666666666667
6,2017-07,6,-1,-0.142857142857
7,2017-06,7,5,2.5
8,2017-05,2,-2,-0.5
9,2017-04,4,0,0.0
10,2017-02,4,1,0.333333333333
11,2017-01,3,1,0.5
12,2016-12,2,-6,-0.75
13,2016-11,8,-14,-0.636363636364
14,2016-10,22,17,3.4
15,2016-09,5,-4,-0.444444444444
16,2016-08,9,-10,-0.526315789474
17,2016-07,19,6,0.461538461538
18,2016-06,13,10,3.33333333333
19,2016-05,3,1,0.5
20,2016-04,2,-3,-0.6
21,2016-03,5,1,0.25
22,2016-02,4,2,1.0
23,2016-01,2,0,0.0
24,2015-12,2,0,0.0
25,2015-11,2,-3,-0.6
26,2015-10,5,-1,-0.166666666667
27,2015-09,6,1,0.2
28,2015-08,5,-5,-0.5
29,2015-07,10,7,2.33333333333
30,2015-05,3,-21,-0.875
31,2015-04,24,19,3.8
32,2015-03,5,-2,-0.285714285714
33,2015-02,7,1,0.166666666667
34,2015-01,6,3,1.0
35,2014-12,3,-20,-0.869565217391
36,2014-11,23,1,0.0454545454545
37,2014-10,22,9,0.692307692308
38,2014-09,13,7,1.16666666667
39,2014-08,6,1,0.2
40,2014-07,5,-7,-0.583333333333
41,2014-06,12,3,0.333333333333
42,2014-05,9,8,8.0
43,2014-04,1,-16,-0.941176470588
44,2014-03,17,4,0.307692307692
45,2014-02,13,2,0.181818181818
46,2014-01,11,-4,-0.266666666667
47,2013-12,15,11,2.75
48,2013-11,4,-11,-0.733333333333
49,2013-10,15,7,0.875
50,2013-09,8,-1,-0.111111111111
51,2013-08,9,6,2.0
52,2013-07,3,-39,-0.928571428571
53,2013-06,42,21,1.0
54,2013-05,21,-2,-0.0869565217391
55,2013-04,23,3,0.15
56,2013-03,20,8,0.666666666667
57,2013-02,12,-18,-0.6
58,2013-01,30,-13,-0.302325581395
59,2012-12,43,-7,-0.14
60,2012-11,50,26,1.08333333333
61,2012-10,24,-30,-0.555555555556
62,2012-09,54,11,0.255813953488
63,2012-08,43,-21,-0.328125
64,2012-07,64,15,0.30612244898
65,2012-06,49,13,0.361111111111
66,2012-05,36,-12,-0.25
67,2012-04,48,10,0.263157894737
68,2012-03,38,17,0.809523809524
69,2012-02,21,12,1.33333333333
70,2012-01,9,-34,-0.790697674419
71,2011-12,43,29,2.07142857143
72,2011-11,14,-38,-0.730769230769
73,2011-10,52,-3,-0.0545454545455
74,2011-09,55,-473,-0.895833333333
75,2011-08,528,0,0.0
