,date,nums,increment,ratio
0,2018-04,1,-5,-0.833333333333
1,2018-03,6,2,0.5
2,2018-02,4,2,1.0
3,2018-01,2,-5,-0.714285714286
4,2017-12,7,0,0.0
5,2017-11,7,4,1.33333333333
6,2017-10,3,-11,-0.785714285714
7,2017-09,14,0,0.0
8,2017-08,14,9,1.8
9,2017-07,5,0,0.0
10,2017-06,5,-4,-0.444444444444
11,2017-05,9,6,2.0
12,2017-04,3,-14,-0.823529411765
13,2017-03,17,14,4.66666666667
14,2017-02,3,-1,-0.25
15,2017-01,4,-2,-0.333333333333
16,2016-12,6,-7,-0.538461538462
17,2016-11,13,-6,-0.315789473684
18,2016-10,19,18,18.0
19,2016-09,1,-3,-0.75
20,2016-08,4,-2,-0.333333333333
21,2016-07,6,2,0.5
22,2016-06,4,2,1.0
23,2016-05,2,1,1.0
24,2016-04,1,-3,-0.75
25,2016-03,4,-4,-0.5
26,2016-02,8,2,0.333333333333
27,2016-01,6,2,0.5
28,2015-11,4,3,3.0
29,2015-09,1,-1,-0.5
30,2015-08,2,1,1.0
31,2015-07,1,-1,-0.5
32,2015-06,2,1,1.0
33,2015-05,1,-1,-0.5
34,2015-04,2,1,1.0
35,2015-03,1,-3,-0.75
36,2015-02,4,3,3.0
37,2014-12,1,-2,-0.666666666667
38,2014-10,3,2,2.0
39,2014-09,1,0,0.0
40,2014-03,1,0,0.0
41,2013-12,1,0,0.0
42,2013-08,1,0,0.0
43,2012-12,1,0,0.0
44,2012-10,1,0,0.0
