,date,nums,increment,ratio
0,2018-04,27,-12,-0.307692307692
1,2018-03,39,19,0.95
2,2018-02,20,-5,-0.2
3,2018-01,25,-12,-0.324324324324
4,2017-12,37,2,0.0571428571429
5,2017-11,35,9,0.346153846154
6,2017-10,26,-2,-0.0714285714286
7,2017-09,28,-9,-0.243243243243
8,2017-08,37,8,0.275862068966
9,2017-07,29,-8,-0.216216216216
10,2017-06,37,3,0.0882352941176
11,2017-05,34,7,0.259259259259
12,2017-04,27,-16,-0.372093023256
13,2017-03,43,13,0.433333333333
14,2017-02,30,-3,-0.0909090909091
15,2017-01,33,11,0.5
16,2016-12,22,-6,-0.214285714286
17,2016-11,28,3,0.12
18,2016-10,25,-1,-0.0384615384615
19,2016-09,26,1,0.04
20,2016-08,25,-9,-0.264705882353
21,2016-07,34,19,1.26666666667
22,2016-06,15,-7,-0.318181818182
23,2016-05,22,-3,-0.12
24,2016-04,25,-4,-0.137931034483
25,2016-03,29,5,0.208333333333
26,2016-02,24,-1,-0.04
27,2016-01,25,-4,-0.137931034483
28,2015-12,29,8,0.380952380952
29,2015-11,21,9,0.75
30,2015-10,12,0,0.0
31,2015-09,12,-6,-0.333333333333
32,2015-08,18,-10,-0.357142857143
33,2015-07,28,13,0.866666666667
34,2015-06,15,-1,-0.0625
35,2015-05,16,-11,-0.407407407407
36,2015-04,27,8,0.421052631579
37,2015-03,19,11,1.375
38,2015-02,8,-14,-0.636363636364
39,2015-01,22,7,0.466666666667
40,2014-12,15,-2,-0.117647058824
41,2014-11,17,7,0.7
42,2014-10,10,0,0.0
43,2014-09,10,-1,-0.0909090909091
44,2014-08,11,5,0.833333333333
45,2014-07,6,0,0.0
46,2014-06,6,-2,-0.25
47,2014-05,8,6,3.0
48,2014-04,2,-3,-0.6
49,2014-03,5,1,0.25
50,2014-02,4,-3,-0.428571428571
51,2014-01,7,3,0.75
52,2013-12,4,-5,-0.555555555556
53,2013-11,9,8,8.0
54,2013-10,1,-2,-0.666666666667
55,2013-09,3,-3,-0.5
56,2013-08,6,1,0.2
57,2013-07,5,-1,-0.166666666667
58,2013-06,6,4,2.0
59,2013-05,2,-7,-0.777777777778
60,2013-04,9,4,0.8
61,2013-03,5,-5,-0.5
62,2013-02,10,8,4.0
63,2013-01,2,-1,-0.333333333333
64,2012-08,3,1,0.5
65,2012-07,2,1,1.0
66,2012-06,1,-1,-0.5
67,2012-05,2,0,0.0
68,2012-04,2,-2,-0.5
69,2012-03,4,2,1.0
70,2012-02,2,-2,-0.5
71,2012-01,4,2,1.0
72,2011-12,2,0,0.0
73,2011-11,2,-2,-0.5
74,2011-10,4,2,1.0
75,2011-09,2,-64,-0.969696969697
76,2011-08,66,0,0.0
