,date,nums,increment,ratio
0,2018-04,28,-3,-0.0967741935484
1,2018-03,31,21,2.1
2,2018-02,10,-9,-0.473684210526
3,2018-01,19,5,0.357142857143
4,2017-12,14,8,1.33333333333
5,2017-11,6,2,0.5
6,2017-10,4,2,1.0
7,2017-09,2,1,1.0
8,2017-08,1,0,0.0
9,2017-07,1,-3,-0.75
10,2017-06,4,-5,-0.555555555556
11,2017-05,9,5,1.25
12,2017-04,4,-3,-0.428571428571
13,2016-11,7,4,1.33333333333
14,2016-10,3,-1,-0.25
15,2016-09,4,-5,-0.555555555556
16,2016-08,9,1,0.125
17,2016-07,8,4,1.0
18,2016-06,4,3,3.0
19,2016-05,1,-8,-0.888888888889
20,2016-03,9,3,0.5
21,2016-02,6,2,0.5
22,2016-01,4,0,0.0
23,2015-12,4,3,3.0
24,2015-11,1,-6,-0.857142857143
25,2015-10,7,5,2.5
26,2015-08,2,-1,-0.333333333333
27,2015-07,3,-6,-0.666666666667
28,2015-06,9,0,0.0
