,date,nums,increment,ratio
0,2018-04,124,16,0.148148148148
1,2018-03,108,-2,-0.0181818181818
2,2018-02,110,41,0.594202898551
3,2018-01,69,-106,-0.605714285714
4,2017-12,175,97,1.24358974359
5,2017-11,78,15,0.238095238095
6,2017-10,63,-40,-0.388349514563
7,2017-09,103,-5,-0.0462962962963
8,2017-08,108,65,1.51162790698
9,2017-07,43,-1,-0.0227272727273
10,2017-06,44,-15,-0.254237288136
11,2017-05,59,6,0.11320754717
12,2017-04,53,4,0.0816326530612
13,2017-03,49,25,1.04166666667
14,2017-02,24,-49,-0.671232876712
15,2017-01,73,37,1.02777777778
16,2016-12,36,-8,-0.181818181818
17,2016-11,44,3,0.0731707317073
18,2016-10,41,-11,-0.211538461538
19,2016-09,52,-15,-0.223880597015
20,2016-08,67,3,0.046875
21,2016-07,64,25,0.641025641026
22,2016-06,39,9,0.3
23,2016-05,30,-12,-0.285714285714
24,2016-04,42,-17,-0.28813559322
25,2016-03,59,0,0.0
26,2016-02,59,6,0.11320754717
27,2016-01,53,15,0.394736842105
28,2015-12,38,-7,-0.155555555556
29,2015-11,45,-55,-0.55
30,2015-10,100,23,0.298701298701
31,2015-09,77,47,1.56666666667
32,2015-08,30,-36,-0.545454545455
33,2015-07,66,-51,-0.435897435897
34,2015-06,117,31,0.360465116279
35,2015-05,86,18,0.264705882353
36,2015-04,68,-114,-0.626373626374
37,2015-03,182,100,1.21951219512
38,2015-02,82,-29,-0.261261261261
39,2015-01,111,-43,-0.279220779221
40,2014-12,154,94,1.56666666667
41,2014-11,60,12,0.25
42,2014-10,48,-33,-0.407407407407
43,2014-09,81,20,0.327868852459
44,2014-08,61,-123,-0.66847826087
45,2014-07,184,51,0.383458646617
46,2014-06,133,-62,-0.317948717949
47,2014-05,195,-106,-0.352159468439
48,2014-04,301,163,1.18115942029
49,2014-03,138,14,0.112903225806
50,2014-02,124,11,0.0973451327434
51,2014-01,113,44,0.63768115942
52,2013-12,69,-8,-0.103896103896
53,2013-11,77,-58,-0.42962962963
54,2013-10,135,-33,-0.196428571429
55,2013-09,168,68,0.68
56,2013-08,100,-52,-0.342105263158
57,2013-07,152,80,1.11111111111
58,2013-06,72,-99,-0.578947368421
59,2013-05,171,86,1.01176470588
60,2013-04,85,28,0.491228070175
61,2013-03,57,-2,-0.0338983050847
62,2013-02,59,-73,-0.55303030303
63,2013-01,132,23,0.211009174312
64,2012-12,109,-10,-0.0840336134454
65,2012-11,119,93,3.57692307692
66,2012-10,26,-31,-0.543859649123
67,2012-09,57,18,0.461538461538
68,2012-08,39,-76,-0.660869565217
69,2012-07,115,34,0.41975308642
70,2012-06,81,-45,-0.357142857143
71,2012-05,126,80,1.73913043478
72,2012-04,46,-40,-0.46511627907
73,2012-03,86,-119,-0.580487804878
74,2012-02,205,-22,-0.0969162995595
75,2012-01,227,72,0.464516129032
76,2011-12,155,43,0.383928571429
77,2011-11,112,-48,-0.3
78,2011-10,160,67,0.720430107527
79,2011-09,93,67,2.57692307692
80,2011-08,26,-59,-0.694117647059
81,2011-07,85,39,0.847826086957
82,2011-06,46,13,0.393939393939
83,2011-05,33,-21,-0.388888888889
84,2011-04,54,-1,-0.0181818181818
85,2011-03,55,-23,-0.294871794872
86,2011-02,78,47,1.51612903226
87,2011-01,31,-110,-0.780141843972
88,2010-12,141,83,1.43103448276
89,2010-11,58,2,0.0357142857143
90,2010-10,56,-10,-0.151515151515
91,2010-09,66,44,2.0
92,2010-08,22,-68,-0.755555555556
93,2010-07,90,8,0.0975609756098
94,2010-06,82,-10,-0.108695652174
95,2010-05,92,44,0.916666666667
96,2010-04,48,-49,-0.505154639175
97,2010-03,97,3,0.031914893617
98,2010-02,94,42,0.807692307692
99,2010-01,52,-9,-0.147540983607
100,2009-12,61,-4,-0.0615384615385
101,2009-11,65,-35,-0.35
102,2009-10,100,28,0.388888888889
103,2009-09,72,36,1.0
104,2009-08,36,-45,-0.555555555556
105,2009-07,81,37,0.840909090909
106,2009-06,44,-44,-0.5
107,2009-05,88,26,0.41935483871
108,2009-04,62,34,1.21428571429
109,2009-03,28,-24,-0.461538461538
110,2009-02,52,-103,-0.664516129032
111,2009-01,155,28,0.220472440945
112,2008-12,127,24,0.233009708738
113,2008-11,103,33,0.471428571429
114,2008-10,70,14,0.25
115,2008-09,56,17,0.435897435897
116,2008-08,39,-11,-0.22
117,2008-07,50,-8,-0.137931034483
118,2008-06,58,-52,-0.472727272727
119,2008-05,110,-49,-0.308176100629
120,2008-04,159,61,0.622448979592
121,2008-03,98,42,0.75
122,2008-02,56,-92,-0.621621621622
123,2008-01,148,24,0.193548387097
124,2007-12,124,-43,-0.25748502994
125,2007-11,167,-19,-0.102150537634
126,2007-10,186,42,0.291666666667
127,2007-09,144,-146,-0.503448275862
128,2007-08,290,214,2.81578947368
129,2007-07,76,12,0.1875
130,2007-06,64,19,0.422222222222
131,2007-05,45,-55,-0.55
132,2007-04,100,-8,-0.0740740740741
133,2007-03,108,25,0.301204819277
134,2007-02,83,1,0.0121951219512
135,2007-01,82,9,0.123287671233
136,2006-12,73,20,0.377358490566
